State,Year,Period,Pandemic_Response_4,Pandemic_Response_5,Pandemic_Response_6,Pandemic_Response_7,Pandemic_Response_10,Pandemic_Response_9,Pandemic_Response_12
IN,2021,M01,0,0,0,0,1,0,0
IN,2021,M02,0,0,0,0,1,0,0
IN,2021,M03,0,0,0,0,1,0,0
IN,2021,M04,0,0,0,0,1,0,0
IN,2021,M05,0,0,0,0,1,0,0
IN,2021,M06,0,0,0,0,1,0,0
IN,2021,M07,0,0,0,0,1,0,0
IN,2021,M08,0,0,0,0,1,0,0
IN,2021,M09,0,0,0,0,1,0,0
IN,2021,M10,0,0,0,0,1,0,0
IN,2021,M11,0,0,0,0,1,0,0
IN,2021,M12,0,0,0,0,1,0,0
KS,2020,M01,0,0,0,0,0,0,0
KS,2020,M02,0,0,0,0,0,0,0
KS,2020,M03,0,0,0,0,0,0,0
KS,2020,M04,0,1,0,1,0,0,0
KS,2020,M05,0,1,0,1,0,0,0
KS,2020,M06,0,1,1,0,0,0,0
KS,2020,M07,0,1,1,0,1,0,0
KS,2020,M08,0,1,1,0,1,0,0
KS,2020,M09,0,1,1,0,1,0,0
KS,2020,M10,0,1,1,0,1,0,0
KS,2020,M11,0,1,1,0,1,0,0
KS,2020,M12,0,1,1,0,1,0,0
KS,2021,M01,0,0,0,0,1,0,0
KS,2021,M02,0,0,0,0,1,0,0
KS,2021,M03,0,0,0,0,1,0,0
KS,2021,M04,0,0,0,0,1,0,0
KS,2021,M05,0,0,0,0,1,0,0
KS,2021,M06,0,0,0,0,1,0,0
KS,2021,M07,0,0,0,0,1,0,0
KS,2021,M08,0,0,0,0,1,0,0
KS,2021,M09,0,0,0,0,1,0,0
KS,2021,M10,0,0,0,0,1,0,0
KS,2021,M11,0,0,0,0,0,0,0
KS,2021,M12,0,0,0,0,0,0,0
KY,2020,M01,0,0,0,0,0,0,0
KY,2020,M02,0,0,0,0,0,0,0
KY,2020,M03,0,0,0,0,0,0,0
KY,2020,M04,0,0,0,0,0,0,0
KY,2020,M05,0,0,0,0,0,0,0
KY,2020,M06,0,1,0,0,0,0,0
KY,2020,M07,0,1,0,1,1,0,0
KY,2020,M08,0,1,0,1,1,0,0
KY,2020,M09,0,1,0,1,1,0,0
KY,2020,M10,0,1,0,1,1,0,0
KY,2020,M11,0,1,0,1,1,0,0
KY,2020,M12,0,1,0,1,1,0,1
KY,2021,M01,0,1,0,1,1,0,0
KY,2021,M02,0,1,0,0,1,0,0
KY,2021,M03,0,0,0,0,1,0,0
KY,2021,M04,0,0,0,0,1,0,0
KY,2021,M05,0,0,0,0,1,0,0
KY,2021,M06,0,0,0,0,1,0,0
KY,2021,M07,0,0,0,0,1,0,0
KY,2021,M08,0,0,0,0,1,0,0
KY,2021,M09,0,0,0,0,1,0,0
KY,2021,M10,0,0,0,0,1,0,0
KY,2021,M11,0,0,0,0,1,0,0
KY,2021,M12,0,0,0,0,1,0,0
LA,2020,M01,0,0,0,0,0,0,0
LA,2020,M02,0,0,0,0,0,0,0
LA,2020,M03,0,0,0,0,0,0,1
LA,2020,M04,0,1,0,1,0,0,1
LA,2020,M05,0,1,0,0,0,0,1
LA,2020,M06,0,0,0,0,0,0,1
LA,2020,M07,0,0,0,1,1,0,1
LA,2020,M08,0,0,0,1,1,0,0
LA,2020,M09,0,0,0,1,1,0,0
LA,2020,M10,0,0,0,0,1,0,0
LA,2020,M11,0,0,0,0,1,0,0
LA,2020,M12,0,0,0,0,1,0,0
LA,2021,M01,0,0,0,0,1,0,0
LA,2021,M02,0,0,0,0,1,0,0
LA,2021,M03,0,0,0,0,1,0,0
LA,2021,M04,0,0,0,0,1,0,0
LA,2021,M05,0,0,0,0,1,0,0
LA,2021,M06,0,0,0,0,1,0,0
LA,2021,M07,0,0,0,0,1,0,0
LA,2021,M08,0,0,0,0,1,0,0
LA,2021,M09,0,0,0,0,0,0,0
LA,2021,M10,0,0,0,0,0,0,0
LA,2021,M11,0,0,0,0,0,0,0
LA,2021,M12,0,0,0,0,0,0,0
MA,2020,M01,0,0,0,0,0,0,0
MA,2020,M02,0,0,0,0,0,0,0
MA,2020,M03,0,0,0,0,0,0,0
MA,2020,M04,0,1,1,0,0,0,1
MA,2020,M05,0,1,0,0,1,0,1
MA,2020,M06,0,1,0,0,1,0,1
MA,2020,M07,0,1,1,0,1,0,1
MA,2020,M08,0,1,1,0,1,0,1
MA,2020,M09,0,1,1,0,1,0,1
MA,2020,M10,0,1,1,0,1,0,1
MA,2020,M11,0,1,1,0,1,0,1
MA,2020,M12,0,1,1,0,1,0,0
MA,2021,M01,0,1,1,0,1,0,0
MA,2021,M02,0,1,1,0,1,0,0
MA,2021,M03,0,1,1,0,1,0,0
MA,2021,M04,0,1,1,0,1,0,0
MA,2021,M05,0,1,1,0,1,0,0
MA,2021,M06,0,1,1,0,1,0,0
MA,2021,M07,0,1,0,0,1,0,0
MA,2021,M08,0,1,0,0,1,0,0
MA,2021,M09,0,1,0,0,1,0,0
MA,2021,M10,0,0,0,0,1,0,0
MA,2021,M11,0,0,0,0,1,0,0
MA,2021,M12,0,0,0,0,1,0,0
MD,2020,M01,0,0,0,0,0,0,0
MD,2020,M02,0,0,0,0,0,0,0
MD,2020,M03,0,0,0,1,0,0,1
MD,2020,M04,0,1,0,1,0,0,1
MD,2020,M05,0,1,0,0,1,0,1
MD,2020,M06,0,1,0,0,1,0,1
MD,2020,M07,0,1,0,0,1,0,1
MD,2020,M08,0,1,0,0,1,0,1
MD,2020,M09,0,1,0,0,1,0,0
MD,2020,M10,0,1,0,0,1,0,0
MD,2020,M11,0,1,0,0,1,0,0
MD,2020,M12,0,1,0,0,1,0,0
MD,2021,M01,0,0,0,0,1,0,0
MD,2021,M02,0,0,0,0,1,0,0
MD,2021,M03,0,0,0,0,1,0,0
MD,2021,M04,0,0,0,0,1,0,0
MD,2021,M05,0,0,0,0,1,0,0
MD,2021,M06,0,0,0,0,1,0,0
MD,2021,M07,0,0,0,0,1,0,0
MD,2021,M08,0,0,0,0,1,0,0
MD,2021,M09,0,0,0,0,1,0,0
MD,2021,M10,0,0,0,0,1,0,0
MD,2021,M11,0,0,0,0,1,0,0
MD,2021,M12,0,0,0,0,1,0,0
ME,2020,M01,0,0,0,0,0,0,0
ME,2020,M02,0,0,0,0,0,0,0
ME,2020,M03,0,0,0,0,0,0,0
ME,2020,M04,0,1,0,0,0,0,1
ME,2020,M05,0,1,0,0,1,0,1
ME,2020,M06,0,1,0,1,1,0,1
ME,2020,M07,0,0,0,1,1,0,1
ME,2020,M08,0,0,0,1,1,0,1
ME,2020,M09,0,0,0,1,1,0,0
ME,2020,M10,0,0,0,1,1,0,0
ME,2020,M11,0,0,0,1,1,0,0
ME,2020,M12,0,0,0,1,1,0,0
ME,2021,M01,0,0,0,1,1,0,0
ME,2021,M02,0,0,0,1,1,0,0
ME,2021,M03,0,0,0,1,1,0,0
ME,2021,M04,0,0,0,1,1,0,0
ME,2021,M05,0,0,0,0,1,0,0
ME,2021,M06,0,0,0,0,1,0,0
ME,2021,M07,0,0,0,0,1,0,0
ME,2021,M08,0,0,0,0,1,0,0
ME,2021,M09,0,0,0,0,1,0,0
ME,2021,M10,0,0,0,0,1,0,0
ME,2021,M11,0,0,0,0,1,0,0
ME,2021,M12,0,0,0,0,1,0,0
MI,2020,M01,0,0,0,0,0,0,0
MI,2020,M02,0,0,0,0,0,0,0
MI,2020,M03,0,0,0,0,0,0,1
MI,2020,M04,1,0,0,1,0,0,1
MI,2020,M05,1,0,0,0,1,0,1
MI,2020,M06,1,1,0,0,1,0,1
MI,2020,M07,0,1,0,0,1,0,1
MI,2020,M08,0,1,0,0,1,0,0
MI,2020,M09,0,1,0,0,1,0,0
MI,2020,M10,0,1,0,0,1,0,0
MI,2020,M11,0,1,0,0,1,0,0
MI,2020,M12,0,1,0,0,1,0,0
MI,2021,M01,0,1,0,0,1,0,0
MI,2021,M02,0,1,0,0,1,0,0
MI,2021,M03,0,1,1,0,1,0,0
MI,2021,M04,0,1,1,0,1,0,0
MI,2021,M05,0,0,1,0,1,0,0
MI,2021,M06,0,0,1,0,1,0,0
MI,2021,M07,0,0,0,0,1,0,0
MI,2021,M08,0,0,0,0,1,0,0
MI,2021,M09,0,0,0,0,1,0,0
MI,2021,M10,0,0,0,0,1,0,0
MI,2021,M11,0,0,0,0,1,0,0
MI,2021,M12,0,0,0,0,1,0,0
MN,2020,M01,0,0,0,0,0,0,0
MN,2020,M02,0,0,0,0,0,0,0
MN,2020,M03,0,0,0,0,0,0,0
MN,2020,M04,0,0,0,0,0,0,1
MN,2020,M05,0,0,0,0,0,0,1
MN,2020,M06,0,1,0,0,0,0,1
MN,2020,M07,0,1,0,0,0,0,1
MN,2020,M08,0,1,0,0,1,0,0
MN,2020,M09,0,1,0,0,1,0,0
MN,2020,M10,0,1,0,0,1,0,0
MN,2020,M11,0,1,0,0,1,0,0
MN,2020,M12,1,1,0,0,1,0,0
MN,2021,M01,1,1,0,0,1,0,0
MN,2021,M02,0,1,0,0,1,0,0
MN,2021,M03,0,1,1,0,1,0,0
MN,2021,M04,0,0,1,0,1,0,0
MN,2021,M05,0,0,1,1,1,0,0
MN,2021,M06,0,0,0,1,1,0,0
MN,2021,M07,0,0,0,1,1,0,0
MN,2021,M08,0,0,0,1,1,0,0
MN,2021,M09,0,0,0,1,1,0,0
MN,2021,M10,0,0,0,1,1,0,0
MN,2021,M11,0,0,0,1,1,0,0
MN,2021,M12,0,0,0,1,0,0,0
MO,2020,M01,0,0,0,0,0,0,0
MO,2020,M02,0,0,0,0,0,0,0
MO,2020,M03,0,0,0,0,0,0,0
MO,2020,M04,0,1,0,0,0,0,1
MO,2020,M05,0,1,0,0,0,0,1
MO,2020,M06,0,0,0,0,0,0,1
MO,2020,M07,0,0,0,0,0,0,1
MO,2020,M08,0,0,0,0,0,0,1
MO,2020,M09,0,0,0,0,0,0,1
MO,2020,M10,0,0,0,0,0,0,1
MO,2020,M11,0,0,0,0,0,0,1
MO,2020,M12,0,0,0,0,0,0,0
MO,2021,M01,0,0,0,0,0,0,0
MO,2021,M02,0,0,0,0,0,0,0
MO,2021,M03,0,0,0,0,0,0,0
MO,2021,M04,0,0,0,0,0,0,0
MO,2021,M05,0,0,0,0,0,0,0
MO,2021,M06,0,0,0,0,0,0,0
MO,2021,M07,0,0,0,0,0,0,0
MO,2021,M08,0,0,0,0,0,0,0
MO,2021,M09,0,0,0,0,0,0,0
MO,2021,M10,0,0,0,0,0,0,0
MO,2021,M11,0,0,0,0,0,0,0
MO,2021,M12,0,0,0,0,0,0,0
MS,2020,M01,0,0,0,0,0,0,0
MS,2020,M02,0,0,0,0,0,0,0
MS,2020,M03,0,0,0,0,0,0,0
MS,2020,M04,0,1,0,0,0,0,1
MS,2020,M05,0,1,0,0,0,0,1
MS,2020,M06,0,1,1,0,0,0,1
MS,2020,M07,0,0,1,0,0,0,0
MS,2020,M08,0,1,1,0,1,0,0
MS,2020,M09,0,1,0,0,1,0,0
MS,2020,M10,0,1,1,0,1,0,0
MS,2020,M11,0,0,1,0,1,0,0
MS,2020,M12,0,1,0,0,1,0,0
MS,2021,M01,0,1,0,0,1,0,0
MS,2021,M02,0,1,0,0,1,0,0
MS,2021,M03,0,1,0,0,1,0,0
MS,2021,M04,0,1,0,0,1,0,0
