Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	Mask2	Hosp1	Deaths1
2014-02-01	0.0179421771898327	0.5812560929705863	0.2072239672195627	0.3029844248083823	0.7142857142857117	0.3442622950819672	0.006095347252321887	0.0073883422685346745	0.43168509604437666	0.9610381658735081	0.0	0.0	0.0
2014-03-01	0.01710218811200459	0.580910913558633	0.10611193673826078	0.23502714344553813	0.7142857142857117	0.3360655737704918	0.004890521351584655	0.006512876749194643	0.47597168180084126	0.9669709174555586	0.0	0.0	0.0
2014-04-01	0.021768732334745557	0.7359509365566917	0.23455887050190752	0.23164964647004324	0.7142857142857117	0.31967213114754095	0.004932529739295892	0.006541309277278584	0.46760791157731196	0.9667094161832184	0.0	0.0	0.0
2014-05-01	0.021879305195590153	0.7342409501420152	0.2491086621939883	0.21291326690540813	0.7142857142857117	0.31147540983606553	0.005105523716049737	0.006664720682472961	0.46943546793793683	0.9657974574043684	0.0	0.0	0.0
2014-06-01	0.022213297951923693	0.7325616822360791	0.29030875491800184	0.24230453928578946	0.7142857142857117	0.3032786885245901	0.00559707854507283	0.007019090661675237	0.44206019401307545	0.9633029987871482	0.0	0.0	0.0
2014-07-01	0.023109890670047484	0.7318643897793194	0.4515247426518949	0.2694264543157527	0.7142857142857117	0.2950819672131147	0.005268647722126176	0.006779045652077763	0.4328522352647602	0.9648830981661997	0.0	0.0	0.0
2014-08-01	0.02404175154798425	0.73097863793079	0.5655386437102664	0.2423916976921555	0.7142857142857117	0.2868852459016394	0.006633437522232641	0.007766498742575883	0.37230220777651624	0.9580503926351426	0.0	0.0	0.0
2014-09-01	0.023786667441656167	0.7301032909952959	0.537821242426031	0.23766439456012564	0.7428571428571402	0.27868852459016386	0.006304135649694005	0.00752586538203674	0.3832166305801797	0.9596354928650028	0.0	0.0	0.0
2014-10-01	0.020869240499772804	0.6375877058316661	0.41879782541011246	0.26025516408349514	0.7428571428571402	0.27049180327868855	0.006719264407794154	0.007824917564911844	0.3705152434098531	0.9575220698412108	0.0	0.0	0.0
2014-11-01	0.021171333965247473	0.6372855333373478	0.4543474477275966	0.26214098748670933	0.7428571428571402	0.26229508196721313	0.007142972567012304	0.008130210018331047	0.2910385964014466	0.9553663852445861	0.0	0.0	0.0
