"state","month","confirmed_cases","confirmed_and_probable_cases","hospitalizations","deaths"
"AK","2020-03",238,238,28,0
"AK","2020-04",136,136,13,0
"AK","2020-05",145,145,14,0
"AK","2020-06",613,614,29,0
"AK","2020-07",2270,2288,84,0
"AK","2020-08",2086,2105,94,0
"AK","2020-09",3001,3050,72,0
"AK","2020-10",8918,9228,195,0
"AK","2020-11",17057,18089,346,0
"AK","2020-12",9832,11203,256,0
"AK","2021-01",5539,6200,100,0
"AK","2021-02",3144,3415,70,0
"AK","2021-03",4100,4533,103,0
"AK","2021-04",4386,4649,133,0
"AK","2021-05",1688,1788,59,0
"AK","2021-06",843,918,44,0
"AK","2021-07",4608,4897,181,0
"AK","2021-08",14740,15450,368,14
"AK","2021-09",22881,24356,459,39
"AK","2021-10",20793,22411,381,29
"AK","2021-11",10183,11225,205,0
"AK","2021-12",7678,8236,122,0
"AK","2022-01",55755,59542,216,0
"AK","2022-02",16662,18952,113,0
"AK","2022-03",6070,6753,41,0
"AK","2022-04",5293,5799,15,0
"AK","2022-05",6977,7480,28,0
"AK","2022-06",8941,9899,47,0
"AK","2022-07",8827,10047,34,0
"AK","2022-08",4509,5322,18,0
"AL","2020-01",89,103,5,0
"AL","2020-02",49,59,12,0
"AL","2020-03",2582,2678,487,22
"AL","2020-04",6078,6208,896,214
"AL","2020-05",11267,11429,975,161
"AL","2020-06",21596,21949,1162,93
"AL","2020-07",46336,49693,1574,391
"AL","2020-08",30996,37542,1283,194
"AL","2020-09",21137,27987,867,0
"AL","2020-10",27036,37937,1012,41
"AL","2020-11",46261,59131,1018,259
"AL","2020-12",78553,104928,1829,954
"AL","2021-01",70567,97297,1776,819
"AL","2021-02",22782,32767,909,24
"AL","2021-03",11416,16679,596,0
"AL","2021-04",7364,13022,562,0
"AL","2021-05",9043,15514,477,23
"AL","2021-06",3681,5683,325,0
"AL","2021-07",26392,37930,1297,133
"AL","2021-08",87924,121066,3032,696
"AL","2021-09",58732,89528,2084,273
"AL","2021-10",16501,31396,769,0
"AL","2021-11",8493,15274,450,0
"AL","2021-12",43899,63134,893,12
"AL","2022-01",225377,319859,2069,745
"AL","2022-02",33997,53400,526,84
"AL","2022-03",5967,13519,97,0
"AL","2022-04",3612,5979,38,0
"AL","2022-05",9472,14087,69,0
"AL","2022-06",26912,41638,188,0
"AL","2022-07",10947,16266,45,0
"AL","2022-08",84,166,4,0
"AR","2020-01",13,17,4,0
"AR","2020-02",9,18,0,0
"AR","2020-03",1147,1156,250,0
"AR","2020-04",2694,2742,312,14
"AR","2020-05",5341,5354,466,13
"AR","2020-06",16435,16461,1055,0
"AR","2020-07",21005,21308,1609,119
"AR","2020-08",17733,18629,1306,74
"AR","2020-09",19196,21805,1421,218
"AR","2020-10",23271,28966,1956,380
"AR","2020-11",39875,53012,2609,622
"AR","2020-12",52610,72737,3016,630
"AR","2021-01",44575,64900,2223,374
"AR","2021-02",12767,19110,984,18
"AR","2021-03",4463,6563,477,0
"AR","2021-04",3677,5476,460,0
"AR","2021-05",3697,5682,537,0
"AR","2021-06",6245,9743,874,13
"AR","2021-07",27683,41640,2539,234
"AR","2021-08",44055,68420,3191,296
"AR","2021-09",23181,37398,1765,99
"AR","2021-10",9876,15699,840,30
"AR","2021-11",10662,17477,859,15
"AR","2021-12",31419,46410,1371,81
"AR","2022-01",142018,218758,4360,685
"AR","2022-02",17197,25491,1562,185
"AR","2022-03",3221,4110,333,12
"AR","2022-04",1919,2849,95,0
"AR","2022-05",5126,8043,214,0
"AR","2022-06",13633,23031,663,12
"AR","2022-07",21356,37039,1169,0
"AR","2022-08",6410,10101,167,0
"AZ","2020-01",54,64,8,0
"AZ","2020-02",49,57,13,0
"AZ","2020-03",2630,2693,776,79
"AZ","2020-04",7088,7398,1527,482
"AZ","2020-05",15793,16191,2068,428
"AZ","2020-06",71157,71673,6195,1293
"AZ","2020-07",85630,86724,9685,1565
"AZ","2020-08",21838,22767,2039,223
"AZ","2020-09",14694,16781,1065,91
"AZ","2020-10",31742,33364,2525,325
"AZ","2020-11",98878,104535,10718,1392
"AZ","2020-12",197599,216487,17443,3622
"AZ","2021-01",178888,198305,13000,2929
"AZ","2021-02",39912,44816,3379,467
"AZ","2021-03",19061,22930,1414,86
"AZ","2021-04",18579,21924,1509,54
"AZ","2021-05",14706,17396,1483,62
"AZ","2021-06",11735,14000,1418,71
"AZ","2021-07",34353,39132,3111,299
"AZ","2021-08",81505,91167,6275,838
"AZ","2021-09",66489,76711,4326,800
"AZ","2021-10",62998,74651,4297,780
"AZ","2021-11",90710,108532,6660,1478
"AZ","2021-12",109016,128843,6124,1499
"AZ","2022-01",421749,494489,11494,1970
"AZ","2022-02",63459,74431,3543,556
"AZ","2022-03",13261,17215,1009,62
"AZ","2022-04",10607,13939,575,33
"AZ","2022-05",35634,43827,1521,84
"AZ","2022-06",59848,73491,2092,166
"AZ","2022-07",65256,79497,2674,102
"AZ","2022-08",29491,37053,1464,28
"CA","2020-01",345,389,23,0
"CA","2020-02",473,488,150,0
"CA","2020-03",19324,19372,4832,471
"CA","2020-04",46513,46561,8744,2379
"CA","2020-05",71112,71261,7957,1864
"CA","2020-06",173978,174309,12611,2120
"CA","2020-07",280886,282776,17302,3131
"CA","2020-08",149263,151905,9761,1563
"CA","2020-09",98832,101312,6114,610
"CA","2020-10",120653,124840,7062,769
"CA","2020-11",400168,417480,19458,4346
"CA","2020-12",1164653,1222821,48054,18365
"CA","2021-01",834803,878356,37534,12191
"CA","2021-02",170711,182515,9956,1413
"CA","2021-03",76756,83498,4761,178
"CA","2021-04",60404,66112,3893,47
"CA","2021-05",35001,38318,2751,11
"CA","2021-06",32992,35800,2743,0
"CA","2021-07",189965,203829,10054,610
"CA","2021-08",387224,414836,18624,2517
"CA","2021-09",231257,251789,10903,1279
"CA","2021-10",163362,179095,8137,971
"CA","2021-11",151888,164887,6923,800
"CA","2021-12",722314,777127,11580,1514
"CA","2022-01",2544938,2792268,32474,6544
"CA","2022-02",315824,352951,8897,872
"CA","2022-03",77578,85884,2650,81
"CA","2022-04",128894,142117,2035,37
"CA","2022-05",371445,415192,4441,175
"CA","2022-06",477558,531888,6506,372
"CA","2022-07",516013,583533,9290,452
"CA","2022-08",224025,256072,3902,39
"CO","2020-01",70,88,6,0
"CO","2020-02",61,97,19,0
"CO","2020-03",5786,6797,2018,241
"CO","2020-04",10818,12261,2473,896
"CO","2020-05",8736,9307,1110,241
"CO","2020-06",6691,7097,515,27
"CO","2020-07",13959,14663,941,37
"CO","2020-08",8998,9795,541,0
"CO","2020-09",12928,14352,746,0
"CO","2020-10",41021,43348,2595,143
"CO","2020-11",127990,131334,6691,926
"CO","2020-12",92081,96346,4679,576
"CO","2021-01",52607,58347,2641,163
"CO","2021-02",27581,31480,1364,12
"CO","2021-03",29612,34153,1595,0
"CO","2021-04",44061,48806,2509,11
"CO","2021-05",25841,28698,2055,12
"CO","2021-06",11099,13248,1010,0
"CO","2021-07",16650,19189,1216,12
"CO","2021-08",37980,42548,2565,11
"CO","2021-09",49377,55710,2986,166
"CO","2021-10",66224,74741,4155,336
"CO","2021-11",77507,86596,4854,435
"CO","2021-12",98092,107606,3713,249
"CO","2022-01",299373,330122,6680,499
"CO","2022-02",46509,54254,1579,23
"CO","2022-03",25525,29203,417,0
"CO","2022-04",33006,37170,427,0
"CO","2022-05",59409,67140,1047,0
"CO","2022-06",75353,85424,1687,15
"CO","2022-07",50110,57980,1586,12
"CO","2022-08",19801,23202,729,0
"CT","2020-01",17,17,15,0
"CT","2020-02",27,37,17,0
"CT","2020-03",3595,3803,1493,212
"CT","2020-04",8324,9308,3911,2432
"CT","2020-05",3231,3645,1470,868
"CT","2020-06",29266,29890,396,46
"CT","2020-07",3887,4013,157,0
"CT","2020-08",3316,3511,195,0
"CT","2020-09",4236,4585,159,0
"CT","2020-10",14640,16431,310,0
"CT","2020-11",38633,41309,1582,132
"CT","2020-12",59304,61239,2006,380
"CT","2021-01",36840,37742,1316,194
"CT","2021-02",1022,1154,784,116
"CT","2021-03",7516,8919,591,11
"CT","2021-04",325,401,16,61
"CT","2021-05",88278,103614,57,0
"CT","2021-06",5179,5988,8,0
"CT","2021-07",9620,11626,16,0
"CT","2021-08",13600,16530,32,0
"CT","2021-09",16669,19755,22,0
"CT","2021-10",104,115,11,29
"CT","2021-11",9208,9911,6,0
"CT","2021-12",142,158,5,78
"CT","2022-01",689,758,51,394
"CT","2022-02",24063,27897,12,120
"CT","2022-03",29807,33974,4,17
"CT","2022-04",52,61,1,43
"CT","2022-05",133972,150276,18,52
"CT","2022-06",4467,5152,7,22
"CT","2022-07",77,91,19,24
"CT","2022-08",47259,53497,220,0
"DC","2020-02",36,36,10,0
"DC","2020-03",1233,1233,346,43
"DC","2020-04",3298,3298,1084,230
"DC","2020-05",2171,2171,701,99
"DC","2020-06",576,576,220,0
"DC","2020-07",4360,4360,240,24
"DC","2020-08",711,711,163,0
"DC","2020-09",632,632,132,0
"DC","2020-10",793,793,168,0
"DC","2020-11",1861,1861,328,22
"DC","2020-12",2720,2722,504,54
"DC","2021-01",17930,17932,1043,102
"DC","2021-02",3534,3534,629,38
"DC","2021-03",3560,3560,581,12
"DC","2021-04",4787,4787,651,0
"DC","2021-05",975,975,237,0
"DC","2021-06",565,565,111,0
"DC","2021-07",1122,1122,138,0
"DC","2021-08",4911,4911,915,0
"DC","2021-09",5725,5725,895,0
"DC","2021-10",2941,2941,338,0
"DC","2021-11",2580,2580,320,0
"DC","2021-12",6253,6262,1574,16
"DC","2022-01",55731,55736,3926,36
"DC","2022-02",4870,4870,237,0
"DC","2022-03",1866,1866,39,0
"DC","2022-04",2459,2459,26,0
"DC","2022-07",9,17,0,0
"DE","2020-03",299,300,18,0
"DE","2020-04",4132,4242,19,0
"DE","2020-05",3708,4386,5,0
"DE","2020-06",1855,1929,0,0
"DE","2020-07",3112,3134,0,0
"DE","2020-08",2376,2397,0,0
"DE","2020-09",2853,2922,1,0
"DE","2020-10",4184,4272,0,0
"DE","2020-11",10636,10850,0,0
"DE","2020-12",20511,21376,0,0
"DE","2021-01",18841,20125,0,0
"DE","2021-02",7657,8435,0,0
"DE","2021-03",7096,8060,0,0
"DE","2021-04",7922,9266,0,0
"DE","2021-05",3567,4018,1,0
"DE","2021-06",725,854,0,0
"DE","2021-07",1441,1723,0,0
"DE","2021-08",7292,8548,0,0
"DE","2021-09",11675,13324,0,0
"DE","2021-10",9316,10494,1,0
"DE","2021-11",8268,9228,0,0
"DE","2021-12",27087,29792,1,0
"DE","2022-01",57319,63793,1,0
"DE","2022-02",6971,7992,0,0
"DE","2022-03",2169,2860,0,0
"DE","2022-04",4090,4591,0,0
"DE","2022-05",12170,13765,0,0
"DE","2022-06",7571,8518,0,0
"DE","2022-07",8358,9393,1,0
"DE","2022-08",5116,5970,0,0
"FL","2020-01",216,251,14,0
"FL","2020-02",284,313,37,0
"FL","2020-03",15349,16250,3086,341
"FL","2020-04",20394,20995,3625,913
"FL","2020-05",21815,21981,2933,649
"FL","2020-06",81714,81848,5954,943
"FL","2020-07",135715,136030,10536,4555
"FL","2020-08",149612,149934,6197,2968
"FL","2020-09",111629,112055,3408,901
"FL","2020-10",129463,130269,3457,595
"FL","2020-11",86261,87788,4195,1158
"FL","2020-12",120684,132566,5851,2858
"FL","2021-01",242230,342371,10325,5048
"FL","2021-02",178084,224864,4835,1295
"FL","2021-03",302867,341805,5535,475
"FL","2021-04",117273,160904,4332,578
"FL","2021-05",58404,78862,2845,251
"FL","2021-06",49686,60865,2530,136
"FL","2021-07",152052,192807,9498,3683
"FL","2021-08",319802,379168,15040,8794
"FL","2021-09",280498,280866,6384,2017
"FL","2021-10",174066,174169,2894,218
"FL","2021-11",46759,46864,1270,29
"FL","2021-12",283043,283648,3037,805
"FL","2022-01",457827,559739,5724,4469
"FL","2022-02",349344,349603,1689,705
"FL","2022-03",134153,134349,674,0
"FL","2022-04",56968,57113,680,27
"FL","2022-05",153770,154083,1359,258
"FL","2022-06",187563,187981,1735,605
"FL","2022-07",175944,176698,1908,618
"FL","2022-08",81793,82971,931,12
"GA","2020-01",620,661,1,360
"GA","2020-02",150,163,2,0
"GA","2020-03",6501,6687,174,0
"GA","2020-04",16171,16459,135,0
"GA","2020-05",16551,16797,77,0
"GA","2020-06",32477,32801,89,0
"GA","2020-07",77185,78202,105,0
"GA","2020-08",60800,63113,136,0
"GA","2020-09",36085,38704,299,0
"GA","2020-10",35735,42976,707,0
"GA","2020-11",57587,74062,950,0
"GA","2020-12",119170,162745,1852,49
"GA","2021-01",146224,199442,1637,155
"GA","2021-02",56331,83631,637,0
"GA","2021-03",25430,41763,317,0
"GA","2021-04",22130,35138,324,0
"GA","2021-05",12199,29846,199,29
"GA","2021-06",4557,7012,99,0
"GA","2021-07",23025,38135,541,0
"GA","2021-08",129380,188513,2090,58
"GA","2021-09",110728,150329,1278,11
"GA","2021-10",35835,49103,388,0
"GA","2021-11",16683,24622,189,22
"GA","2021-12",115686,155359,474,0
"GA","2022-01",357704,467709,2002,162
"GA","2022-02",56118,81203,540,0
"GA","2022-03",19988,26684,60,0
"GA","2022-04",11453,16791,43,25
"GA","2022-05",31879,42864,98,0
"GA","2022-06",54857,64837,193,0
"GA","2022-07",74561,105003,335,0
"GA","2022-08",49098,72671,183,0
"GU","2020-03",112,112,38,0
"GU","2020-04",37,37,4,0
"GU","2020-05",18,18,3,0
"GU","2020-06",75,76,2,0
"GU","2020-07",67,68,8,0
"GU","2020-08",789,792,76,0
"GU","2020-09",891,899,55,0
"GU","2020-10",1380,1419,65,0
"GU","2020-11",1512,1589,36,0
"GU","2020-12",294,332,9,0
"GU","2021-01",153,172,8,0
"GU","2021-02",84,86,3,0
"GU","2021-03",45,46,4,0
"GU","2021-04",130,144,4,0
"GU","2021-05",1771,1858,4,0
"GU","2021-06",144,169,1,0
"GU","2021-07",136,148,6,0
"GU","2021-08",1766,1984,17,0
"GU","2021-09",2473,3967,53,0
"GU","2021-10",1339,2877,43,0
"GU","2021-11",358,832,21,0
"GU","2021-12",382,712,7,0
"GU","2022-01",4069,4958,11,0
"GU","2022-02",7736,8076,3,0
"GU","2022-03",1664,2121,2,0
"GU","2022-04",559,684,2,0
"GU","2022-05",613,780,2,0
"GU","2022-06",1711,2266,2,0
"GU","2022-07",2276,2968,2,0
"GU","2022-08",1336,1694,0,0
"HI","2020-03",207,222,0,0
"HI","2020-04",334,341,0,0
"HI","2020-05",105,109,0,0
"HI","2020-06",257,265,0,0
"HI","2020-07",887,908,2,0
"HI","2020-08",3360,3389,0,0
"HI","2020-09",6503,6552,0,0
"HI","2020-10",1604,1628,0,0
"HI","2020-11",3754,3788,0,0
"HI","2020-12",1110,1154,0,0
"HI","2021-01",3667,3941,0,0
"HI","2021-02",2082,2178,0,0
"HI","2021-03",1243,1425,0,0
"HI","2021-04",1270,1411,0,0
"HI","2021-05",1181,1271,0,0
"HI","2021-06",1116,1189,0,0
"HI","2021-07",5552,5877,0,0
"HI","2021-08",18202,19369,0,0
"HI","2021-09",6853,7354,1,0
"HI","2021-10",3720,4197,0,0
"HI","2021-11",2130,2398,0,0
"HI","2021-12",5687,6688,0,0
"HI","2022-01",18816,21991,2,0
"HI","2022-02",16717,20621,0,0
"HI","2022-03",28232,32305,1,0
"HI","2022-04",8583,10205,0,0
"HI","2022-05",8772,11139,0,0
"HI","2022-06",12499,15208,1,0
"HI","2022-07",7629,9096,0,0
"HI","2022-08",2870,3331,0,0
"IA","2020-01",87,106,2,0
"IA","2020-02",26,29,2,0
"IA","2020-03",2076,2395,285,0
"IA","2020-04",14059,15314,1001,178
"IA","2020-05",22173,25182,992,197
"IA","2020-06",25786,30179,617,135
"IA","2020-07",30274,34655,602,85
"IA","2020-08",29685,34286,662,83
"IA","2020-09",29841,36132,638,80
"IA","2020-10",37769,45162,894,97
"IA","2020-11",64457,75386,56,52
"IA","2020-12",25450,33663,7,0
"IA","2021-01",17017,23001,8,0
"IA","2021-02",8340,11339,0,0
"IA","2021-03",7541,10164,1,0
"IA","2021-04",6611,8651,4,0
"IA","2021-05",3205,4157,2,0
"IA","2021-06",1521,1836,0,0
"IA","2021-07",5631,7174,3,0
"IA","2021-08",20150,26390,6,0
"IA","2021-09",30264,42295,2,0
"IA","2021-10",20604,29330,1,0
"IA","2021-11",4620,6558,1,0
"IA","2021-12",21,26,1,0
"IA","2022-01",40,66,1,0
"IA","2022-05",8,11,0,0
"IA","2022-06",13,18,0,0
"IA","2022-07",17,28,0,0
"IA","2022-08",5,16,0,0
"ID","2020-03",1308,1335,186,0
"ID","2020-04",709,842,87,0
"ID","2020-05",835,967,81,0
"ID","2020-06",5207,5611,226,0
"ID","2020-07",14732,15561,795,109
"ID","2020-08",8832,9812,536,63
"ID","2020-09",9261,11262,508,11
"ID","2020-10",19787,24746,1106,163
"ID","2020-11",35184,43814,1674,305
"ID","2020-12",24539,32508,1370,219
"ID","2021-01",13760,18630,704,45
"ID","2021-02",5841,7871,358,0
"ID","2021-03",6601,9280,500,0
"ID","2021-04",4924,6575,415,0
"ID","2021-05",3451,4488,303,0
"ID","2021-06",2061,2612,236,0
"ID","2021-07",5622,7230,463,12
"ID","2021-08",20363,25747,1307,159
"ID","2021-09",33124,42356,1977,365
"ID","2021-10",19697,25993,1359,218
"ID","2021-11",9995,12990,705,24
"ID","2021-12",11960,14732,638,25
"ID","2022-01",76553,101694,1215,153
"ID","2022-02",12715,16514,467,27
"ID","2022-03",1491,1835,91,0
"ID","2022-04",1336,1762,51,0
"ID","2022-05",4269,5903,91,0
"ID","2022-06",8131,11832,207,0
"ID","2022-07",9773,15371,261,0
"ID","2022-08",4408,6897,103,0
"IL","2020-01",14,29,3,0
"IL","2020-02",65,68,30,0
"IL","2020-03",17563,17748,6327,1070
"IL","2020-04",62347,62715,13044,3423
"IL","2020-05",50358,50660,6534,1591
"IL","2020-06",22532,22687,2362,164
"IL","2020-07",42599,42882,3263,165
"IL","2020-08",59298,60300,3728,292
"IL","2020-09",61091,62731,3948,380
"IL","2020-10",191628,201031,8913,1946
"IL","2020-11",280462,306467,10807,3590
"IL","2020-12",169641,199747,8373,2276
"IL","2021-01",103978,127361,6920,913
"IL","2021-02",40471,50185,3122,217
"IL","2021-03",57513,70138,4749,289
"IL","2021-04",66887,81154,6326,381
"IL","2021-05",25422,31912,2970,124
"IL","2021-06",7427,9554,987,0
"IL","2021-07",37308,46697,3244,121
"IL","2021-08",91331,116077,7116,537
"IL","2021-09",72643,93065,5185,312
"IL","2021-10",55818,71954,4048,238
"IL","2021-11",124973,154886,8716,841
"IL","2021-12",533751,675921,20693,2558
"IL","2022-01",374778,459616,12378,1452
"IL","2022-02",37930,45109,1981,62
"IL","2022-03",27398,32165,1112,0
"IL","2022-04",91041,105945,2300,29
"IL","2022-05",139667,165155,3169,42
"IL","2022-06",100007,121013,2468,39
"IL","2022-07",113244,140290,2325,49
"IL","2022-08",52497,67851,859,0
"IN","2020-01",16,22,5,0
"IN","2020-02",43,45,17,0
"IN","2020-03",5532,5532,1946,159
"IN","2020-04",15757,15770,2115,644
"IN","2020-05",14265,14282,1150,150
"IN","2020-06",11985,11997,617,32
"IN","2020-07",22450,22580,672,11
"IN","2020-08",25482,27136,695,0
"IN","2020-09",24748,26711,525,77
"IN","2020-10",60341,66500,1201,329
"IN","2020-11",151608,173444,1530,1349
"IN","2020-12",136110,167795,1202,1265
"IN","2021-01",77259,101849,800,313
"IN","2021-02",21739,32070,311,0
"IN","2021-03",17391,26536,181,0
"IN","2021-04",22538,33314,396,0
"IN","2021-05",13957,21244,262,0
"IN","2021-06",4851,7436,106,0
"IN","2021-07",13597,20200,164,0
"IN","2021-08",71212,97983,643,69
"IN","2021-09",70168,100697,835,169
"IN","2021-10",36945,55764,425,52
"IN","2021-11",58488,88275,653,228
"IN","2021-12",125665,171709,1195,540
"IN","2022-01",268585,360030,710,661
"IN","2022-02",29738,41239,103,0
"IN","2022-03",5379,7709,21,0
"IN","2022-04",8189,11575,24,0
"IN","2022-05",24133,34413,78,0
"IN","2022-06",27854,39986,126,0
"IN","2022-07",40530,58575,162,0
"IN","2022-08",31706,46214,135,0
"KS","2020-03",1008,1075,346,14
"KS","2020-04",4464,4630,505,46
"KS","2020-05",4832,5013,441,16
"KS","2020-06",6336,6597,525,11
"KS","2020-07",12949,13464,1136,26
"KS","2020-08",15057,16231,1044,41
"KS","2020-09",15476,17976,1250,102
"KS","2020-10",25455,31044,2019,341
"KS","2020-11",63849,80024,4611,1015
"KS","2020-12",49908,66274,4055,715
"KS","2021-01",34106,46478,2630,255
"KS","2021-02",9893,14390,843,36
"KS","2021-03",5162,7121,468,0
"KS","2021-04",5087,6841,575,0
"KS","2021-05",3030,4118,419,0
"KS","2021-06",2996,4026,400,0
"KS","2021-07",14350,18294,1349,67
"KS","2021-08",30646,40626,2369,177
"KS","2021-09",26711,36575,2133,138
"KS","2021-10",17678,25525,1642,107
"KS","2021-11",24307,36044,2024,137
"KS","2021-12",45617,64398,3300,228
"KS","2022-01",144178,204583,7074,406
"KS","2022-02",16937,23572,1544,107
"KS","2022-03",2382,3321,285,0
"KS","2022-04",4479,6258,299,0
"KS","2022-05",9212,12993,616,0
"KS","2022-06",13787,20402,955,0
"KS","2022-07",20702,30274,1391,0
"KS","2022-08",2865,4255,251,0
"KY","2020-01",71,97,3,0
"KY","2020-02",26,40,5,0
"KY","2020-03",1643,1691,447,18
"KY","2020-04",3947,3987,568,153
"KY","2020-05",4227,4348,401,47
"KY","2020-06",5349,5726,397,28
"KY","2020-07",12676,14470,690,45
"KY","2020-08",12924,15679,707,84
"KY","2020-09",12017,16228,686,93
"KY","2020-10",23599,31415,1437,330
"KY","2020-11",48565,62894,2590,731
"KY","2020-12",47186,65685,2736,662
"KY","2021-01",59705,84960,2992,369
"KY","2021-02",21723,33010,1529,101
"KY","2021-03",11427,17858,885,29
"KY","2021-04",10312,16159,910,19
"KY","2021-05",6767,10360,690,0
"KY","2021-06",4323,6289,439,0
"KY","2021-07",16874,26556,1226,41
