Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time.1
2015-03-01,0.8514420250036735,0.3964917151520788,77694.46956657039,8386.0,54403.87626299462,4387.514465482199,12014.154291993658,38002.20750551877,16401.668757475858,148128.0,140924.0,103.5700178,104.08,102.831,HI,2015-03-01
2015-04-01,-0.2290084029011088,1.0649469526269295,77965.17993068381,7595.0,54497.45732517084,4402.973471965796,11999.319793994751,38095.164059210285,16402.293265960547,148511.0,141202.0,103.6779874,104.256,102.91,HI,2015-04-01
2015-05-01,1.280593532525475,0.1693121040952743,78108.81900551912,7859.0,54502.51722310549,4411.255767963085,11965.106246849433,38126.15520829297,16376.362014812516,148817.0,141540.0,104.019891,104.385,103.156,HI,2015-05-01
2015-06-01,0.8786452935044621,0.3662349873421984,78286.6016486706,7980.0,54531.812376639966,4421.46561399435,11936.365571423044,38173.98119122257,16357.831185417392,148816.0,141695.0,104.3078098,104.511,103.356,HI,2015-06-01
2015-07-01,-0.160653556703163,0.984343629801234,78477.84405280952,7823.0,54621.65227843243,4436.562871588635,11920.974275190689,38264.11513165311,16357.537146779325,148830.0,141989.0,104.4732753,104.603,103.441,HI,2015-07-01
2015-08-01,-0.977945446122894,1.6149176169545685,78732.65533664596,7053.0,54755.77296133748,4455.250285183969,11915.276193422402,38385.24648273111,16370.52647860637,149181.0,142130.0,104.4728364,104.679,103.442,HI,2015-08-01
2015-09-01,-2.409359737251925,2.5383645079229087,79105.22901761078,7176.0,54971.72980665898,4480.607809156832,11927.334953383224,38563.78704411893,16407.942762540053,148826.0,142265.0,104.2380246,104.814,103.289,HI,2015-09-01
2015-10-01,-1.0862143435089928,1.559651562386315,79342.42887851736,6415.0,55114.58192123216,4500.019365958518,11923.475414915662,38691.08714035798,16423.49478087418,149246.0,142585.0,104.3411662,104.829,103.274,HI,2015-10-01
2015-11-01,-0.3898978113115317,1.1813546621728466,79519.62994861472,6361.0,55215.76653731645,4516.025237814142,11910.617687759466,38789.123611742834,16426.642925573607,149463.0,142810.0,104.465814,104.94,103.337,HI,2015-11-01
2015-12-01,-1.7731763298779948,2.095258947905277,79810.07815753538,6229.0,55395.58172643894,4538.463773449683,11914.714342440411,38942.40361054885,16453.178115890096,150128.0,143083.0,104.3534555,105.009,103.253,HI,2015-12-01
2016-01-01,-0.4266358004452688,1.9459247855023645,79960.44114894906,6388.0,55481.627398215016,4548.235339670495,11933.35817861499,39000.04194657939,16481.59351828548,150653.0,143198.0,104.3056153,105.204,103.306,HI,2016-01-01
2016-02-01,-1.3905478067854404,2.227206367319809,80201.4361080439,6290.0,55630.55733131864,4563.162278917494,11965.527595358477,39101.88360034356,16528.68987427597,150939.0,143410.0,104.1669227,105.369,103.242,HI,2016-02-01
2016-03-01,1.4413071275366185,0.434112080304454,80207.18779292816,6393.0,55616.34502952232,4564.702699046202,11962.606662092558,39089.05982740793,16527.30936113876,151218.0,143666.0,104.4934648,105.521,103.481,HI,2016-03-01
2016-04-01,2.400938405718045,-0.1850383038170531,80148.68253341428,6521.0,55547.03678375697,4561.705980370439,11947.834294905751,39037.52861440461,16509.54027527619,151074.0,143856.0,104.8937422,105.786,103.823,HI,2016-04-01
2016-05-01,0.7193305972754095,0.7025694210869545,80235.37256636881,7009.0,55578.49332063821,4566.971541783279,11954.735181819056,39056.826670000766,16521.706723602336,151132.0,143901.0,105.141721,105.948,103.977,HI,2016-05-01
2016-06-01,1.0915711382311837,0.5572641791121603,80287.88096952243,7127.0,55586.36909047276,4570.290376769859,11956.563474922006,39059.56323494121,16526.853851691863,151223.0,144152.0,105.4335899,106.077,104.175,HI,2016-06-01
2016-07-01,-0.4087939833672065,1.666371932888174,80417.97002437199,7374.0,55676.89842445642,4580.398779481471,11976.170143353354,39120.38547403836,16556.568922834824,151554.0,144515.0,105.380483,106.257,104.218,HI,2016-07-01
2016-08-01,0.6825958064684415,0.8676676425097674,80460.7469293119,6729.0,55706.97683331098,4585.528963151744,11982.773487650182,39138.738255376535,16568.302450801926,151779.0,144664.0,105.5753549,106.456,104.374,HI,2016-08-01
2016-09-01,0.9357066564689764,0.6540130960903798,80484.14709961264,7092.0,55723.63827650519,4589.546171871264,11986.490363923294,39147.67347329157,16576.03653579456,151761.0,144961.0,105.8523012,106.579,104.555,HI,2016-09-01
2016-10-01,1.3435136277621456,0.531939970131373,80535.09056553357,7245.0,55713.64495257,4591.357624110091,11984.47311663772,39137.893738985455,16575.83074074781,151793.0,145069.0,106.10028,106.737,104.786,HI,2016-10-01
2016-11-01,-0.3378638390492202,1.3867647987770644,80732.6426649877,7644.0,55805.19146013394,4601.530154732605,12004.29759792418,39199.45115397583,16605.827752656784,151954.0,145189.0,106.2253667,106.789,104.826,HI,2016-11-01
2016-12-01,1.0132377798482153,0.6451736488035024,80813.6777855014,7474.0,55816.2964091528,4605.063942028433,12006.817943761487,39204.50974604112,16611.881885789917,152157.0,145408.0,106.493535,106.929,105.017,HI,2016-12-01
2017-01-01,1.6323270054163848,-1.1135726195536997,80909.38701679827,8227.0,55822.929315927926,4604.315295486747,12001.279156547227,39217.413921777006,16605.60235782227,152152.0,145639.0,106.9240965,107.205,105.408,HI,2017-01-01
2017-02-01,-0.4260243934890737,0.0759489723592717,81180.10167029772,7701.0,55950.61728395066,4613.558144674937,12021.802279688076,39315.32000884087,16635.376211676332,152480.0,145845.0,107.09439,107.414,105.57,HI,2017-02-01
2017-03-01,-2.4705640162320317,1.4207348218337694,81619.81575555386,7265.0,56194.84039730078,4632.411479263022,12067.371483812269,39495.10482220032,16699.8066570627,153065.0,145975.0,107.0443553,107.364,105.512,HI,2017-03-01
2017-04-01,0.1033161697888648,0.0661494743931543,81615.78907550311,7577.0,56284.54884753112,4638.529530438294,12079.771271498432,39566.279568265534,16718.332324607825,153255.0,146172.0,107.1764644,107.62,105.744,HI,2017-04-01
2017-05-01,-2.2242008549243515,1.3054702671636391,81814.04544336606,7497.0,56513.58066733517,4656.131953509781,12122.085690321715,39735.37878931202,16778.257058352443,153069.0,146389.0,107.0935122,107.719,105.714,HI,2017-05-01
2017-06-01,-1.0388952101471514,0.6357828146161026,81910.88220006616,7960.0,56672.49444785711,4667.958228984548,12149.364456835045,39855.17176203752,16817.369938099513,153318.0,146588.0,107.1632974,107.876,105.815,HI,2017-06-01
2017-07-01,-1.6840756391142289,0.9431634766728862,82233.17145682556,7955.0,56870.83892342672,4683.033830300515,12185.10452687336,40002.68481951088,16868.193470770868,153569.0,146772.0,107.1984094,107.941,105.842,HI,2017-07-01
2017-08-01,0.4490206376963375,-0.5051826938367596,82380.99277677765,7212.0,56948.58913091977,4688.182380867098,12195.023862711678,40065.35146836577,16883.26908152913,153503.0,146907.0,107.610976,108.074,106.093,HI,2017-08-01
2017-09-01,1.7919364378824814,-1.2787968270869263,82414.19462677596,7178.0,56947.25375853358,4686.827994854025,12188.048755293874,40072.33005606108,16874.947178634815,154286.0,146999.0,108.1604796,108.215,106.491,HI,2017-09-01
2017-10-01,-0.4797648223368496,0.2495061900983377,82464.65006376116,7620.0,57074.613057285,4696.071812567203,12208.652139124317,40169.8265946541,16904.802090365785,153609.0,147147.0,108.2443097,108.499,106.648,HI,2017-10-01
2017-11-01,-0.2395937258987761,-0.02307330501914,82499.50854200797,7162.0,57190.88852484597,4704.407520087368,12226.90537483426,40259.497620719216,16931.398705047228,153805.0,147377.0,108.5331063,108.582,106.825,HI,2017-11-01
2017-12-01,-0.4353655757900326,0.0943435288184595,82551.22452794915,7117.0,57318.564217610765,4713.684800897364,12247.616376892876,40357.16956440456,16961.394653206204,153904.0,147521.0,108.7617735,108.742,106.98,HI,2017-12-01
2018-01-01,1.618153373547116,-0.8876525179716173,82669.50441807465,7620.0,57320.700061474265,4714.416336009641,12256.788559577224,40349.40978496423,16971.29027651003,154425.0,147670.0,109.1734623,109.08,107.362,HI,2018-01-01
2018-02-01,0.5922844064584548,-0.4274617151254997,82878.48238482389,7663.0,57386.20209059234,4720.356174990318,12279.457994579976,40386.31049167638,16999.891598915958,155197.0,148058.0,109.4789372,109.311,107.625,HI,2018-02-01
2018-03-01,-0.4930681953124045,0.4177314628124448,83172.01258153409,7111.0,57510.55419987567,4731.1346576727865,12314.686807018194,40464.66314705363,17045.89105282203,155214.0,148281.0,109.541261,109.562,107.777,HI,2018-03-01
2018-04-01,0.0979490850745823,-0.0528035903395602,83408.4342704745,6859.0,57603.06700744528,4739.292020101003,12343.068982973387,40520.64426911629,17082.42273832898,155312.0,148426.0,109.7892399,109.75,107.988,HI,2018-04-01
2018-05-01,0.0868261180154505,-0.1426564298810814,83648.57245847698,6912.0,57698.4185668204,4747.680841952187,12372.026532831793,40578.657276040685,17119.761290779716,155652.0,148755.0,110.067064,109.956,108.193,HI,2018-05-01
2018-06-01,-0.6919566635736436,0.4366458669072598,83950.5340805229,7004.0,57836.62767617272,4759.594523482002,12410.14799154334,40666.83900034159,17169.788675831125,155762.0,148966.0,110.2158513,110.073,108.317,HI,2018-06-01
2018-07-01,-0.92894012864984,0.6355737651243596,83979.20375340886,7095.0,57987.35438169291,4772.537209724185,12450.937891044116,40763.8408490673,17223.513532625602,156146.0,149022.0,110.305826,110.219,108.417,HI,2018-07-01
2018-08-01,-1.0180416144338236,0.5769664065595332,84019.43435758485,6413.0,58145.84062966582,4786.117613807423,12493.379538318835,40866.312756139705,17279.527873526113,155504.0,149272.0,110.4927976,110.246,108.502,HI,2018-08-01
2018-09-01,0.3143528419359986,-0.0702745407138458,83942.87185712447,6474.0,58223.11427467858,4793.011642664018,12518.346852066436,40911.73278890544,17311.38148577314,156015.0,149361.0,110.707859,110.476,108.738,HI,2018-09-01
2018-10-01,-0.0667873152021308,-0.0254986332821677,83984.82734138785,6643.0,58326.8150269913,4802.079125506473,12548.963803508226,40975.75679678794,17351.058230203354,156391.0,149526.0,110.9812941,110.626,108.924,HI,2018-10-01
2018-11-01,-1.4718593715868526,1.1102635177002365,84135.36571563169,6715.0,58505.767695399605,4817.341017475915,12595.753532350209,41092.665498138645,17413.102197260963,156721.0,149622.0,110.8913194,110.831,108.969,HI,2018-11-01
2018-12-01,-1.6558106072905232,1.154237993416681,84303.56634951511,6662.0,58696.95662944648,4833.610114596619,12645.17253718197,41218.17397766788,17478.782651778587,156817.0,149805.0,110.844796,111.009,108.991,HI,2018-12-01
2019-01-01,-2.0291690160039355,0.9672216108015076,84389.76420100874,7276.0,58919.3056027113,4837.335706922864,12681.009142601924,41400.960753186446,17518.344849524852,156529.0,150114.0,110.809245,111.134,108.977,HI,2019-01-01
2019-02-01,-0.3488596198627729,0.0071104042840182,84334.34726574193,6869.0,59042.551567014176,4832.9454736469215,12695.533200178385,41514.07289318893,17528.47867382524,156908.0,150092.0,111.1011139,111.207,109.146,HI,2019-02-01
2019-03-01,0.8983059173222043,-0.8797840496327666,84180.5323318988,6549.0,59096.21903639338,4822.921520791645,12695.147245598166,41578.15027000356,17518.06876638981,156755.0,150320.0,111.6005829,111.35,109.443,HI,2019-03-01
2019-04-01,1.212742605082303,-0.9158472563266046,84110.70626100682,6301.0,59128.04396672134,4811.198153883521,12690.137851460466,41626.7079613773,17501.33600534405,156683.0,150563.0,111.9912044,111.65,109.78,HI,2019-04-01
2019-05-01,-1.2224341476674692,0.6189045934161985,84240.97606563747,6823.0,59300.227874065415,4810.949485386935,12715.2969948539,41773.98139382464,17526.24648024077,156814.0,150630.0,112.0623063,111.773,109.856,HI,2019-05-01
2019-06-01,-1.2263705765840245,0.7122753107137364,84368.76336016737,7289.0,59470.55078000637,4810.56988220312,12740.07367990176,41919.90721790149,17550.64356210488,157164.0,150797.0,112.0781068,112.0,109.935,HI,2019-06-01
2019-07-01,-0.422710155360759,0.0858290510411527,84635.7960772915,7233.0,59597.29110275464,4806.695490520218,12755.539205890693,42035.05640634367,17562.234696410975,157525.0,150879.0,112.3146742,112.157,110.094,HI,2019-07-01
2019-08-01,-1.5107793704487604,0.6605547564044744,84995.3389266214,6545.0,59789.28316323439,4808.109057010378,12784.991343720898,42196.18276250317,17593.10040073121,157782.0,151111.0,112.4371275,112.27,110.132,HI,2019-08-01
2019-09-01,-1.1779763203781155,0.4986511542491287,85325.97747874455,6318.0,59961.00519930677,4807.906938760696,12810.120954204362,42342.97730634171,17618.02789296506,158302.0,151318.0,112.6201491,112.339,110.207,HI,2019-09-01
2019-10-01,0.1169801313839512,-0.2133713759691189,85302.09587978346,6303.0,60055.71001210499,4801.566098850176,12818.82699558362,42435.31691767113,17620.393094433857,158474.0,151447.0,112.9313296,112.496,110.423,HI,2019-10-01
2019-11-01,-1.3900118664886107,0.5033323662425536,85409.54174172546,5777.0,60242.60954053472,4802.6293952752985,12847.239195309725,42592.740949949766,17649.86859058496,158642.0,151662.0,113.1433186,112.524,110.469,HI,2019-11-01
2019-12-01,0.5080647389501065,-0.1964814360271622,85346.22886866059,5689.0,60308.7523479266,4794.104898136107,12849.931368299378,42664.716081491104,17644.036266435483,158834.0,151764.0,113.3517964,112.772,110.736,HI,2019-12-01
2020-01-01,4.917338698995597,3.223484183659284,84260.04711085476,6405.0,59979.15615085088,4800.81542640131,12802.13441015287,42376.20631429667,17602.94983655421,158543.0,152098.0,113.5356958,113.008,110.944,HI,2020-01-01
2020-02-01,4.246167984037598,3.3569954745143487,83239.33855526542,6221.0,59694.83208787251,4811.050088532754,12763.93265508238,42119.8493442574,17574.982743615106,158749.0,152371.0,113.6783385,113.206,111.07,HI,2020-02-01
2020-03-01,0.7053181991516935,5.764122894420969,82496.93207247528,6472.0,59610.57622897568,4837.44495777088,12768.533891575831,42004.59737962897,17605.978849346717,155451.0,150944.0,113.3087842,113.143,110.824,HI,2020-03-01
2020-04-01,-2.9209259739143967,9.157342848009298,79259.05095385398,68479.0,59710.07919301144,4879.003117525577,12812.667253281566,42018.408822204256,17691.670370807173,133258.0,130430.0,112.3998209,112.668,110.237,HI,2020-04-01
2020-05-01,3.9910549290066166,3.99296708856494,75502.43310104846,128074.0,59429.625837086445,4889.657130602095,12775.366324431598,41764.60238205278,17665.023455033665,137128.0,133055.0,112.3339858,112.819,110.353,HI,2020-05-01
2020-06-01,6.7983714710819685,1.5903580617526634,71574.23292940605,132466.0,59001.81496397162,4888.03207339317,12706.282845430083,41407.500045148365,17594.314918823256,142276.0,137620.0,112.8927063,113.051,110.746,HI,2020-06-01
2020-07-01,6.305918949078835,1.4608609927871614,72387.40036492843,130195.0,58612.36405214636,4889.366056852015,12645.311149524634,41077.68684576968,17534.677206376677,143779.0,139064.0,113.4746886,113.425,111.072,HI,2020-07-01
2020-08-01,6.2702987207264025,1.7692148822813665,73187.26756484252,115418.0,58218.39854233424,4890.121561904417,12583.227867984311,40745.04911244554,17473.3494298887,147201.0,140799.0,113.9298286,113.782,111.411,HI,2020-08-01
2020-09-01,4.915767208228932,2.827958415441875,74073.09184414001,132603.0,57897.80312329208,4896.875811957389,12536.890863967456,40464.03644736724,17433.766675924846,147625.0,141760.0,114.197558,113.979,111.613,HI,2020-09-01
2020-10-01,3.450278542551815,3.6276957165313695,74771.90216872071,70491.0,57664.490183433656,4910.940336295026,12509.404557179709,40244.14528995889,17420.34489347476,149854.0,142479.0,114.2686599,114.017,111.648,HI,2020-10-01
2020-11-01,3.299911391730741,3.71240080755643,75481.76407023329,43988.0,57440.066806369,4925.745825348207,12483.835724392386,40030.48525662843,17409.581549740564,149928.0,142743.0,114.4306142,114.048,111.666,HI,2020-11-01
2020-12-01,7.246065247576813,1.670981118881424,75874.81052162281,32159.0,56977.97592510031,4920.017833259028,12406.50913954525,39651.44895229603,17326.526972804277,149961.0,142475.0,114.8006074,114.422,112.15,HI,2020-12-01
2021-01-01,-2.540193791099031,-3.3597809311128435,76330.85516167335,23817.0,57335.85443628257,4990.177617106197,12469.378147677717,39876.29867149863,17459.55576478394,149871.0,142969.0,115.0797482,114.782,112.583,HI,2021-01-01
2021-02-01,-2.7576716109693256,-3.78196680554538,76820.7906563622,20590.0,57719.08003647277,5062.263377035729,12537.867051460238,40118.94960797682,17600.13042849594,150205.0,143544.0,115.5827284,114.975,112.961,HI,2021-02-01
2021-03-01,-0.1405208581277883,-5.3646715745582005,77108.12095184455,18617.0,57949.939277668265,5120.630632216277,12573.394818361025,40255.91382709096,17694.025450577305,150751.0,144328.0,116.3209593,115.457,113.632,HI,2021-03-01
