State,Year,Period,Pandemic_Response_8
AK,2018,M01,0
AK,2018,M02,0
AK,2018,M03,0
AK,2018,M04,0
AK,2018,M05,0
AK,2018,M06,0
AK,2018,M07,0
AK,2018,M08,0
AK,2018,M09,0
AK,2018,M10,0
AK,2018,M11,0
AK,2018,M12,0
AK,2019,M01,0
AK,2019,M02,0
AK,2019,M03,0
AK,2019,M04,0
AK,2019,M05,0
AK,2019,M06,0
AK,2019,M07,0
AK,2019,M08,0
AK,2019,M09,0
AK,2019,M10,0
AK,2019,M11,0
AK,2019,M12,0
AK,2020,M01,0
AK,2020,M02,0
AK,2020,M03,0
AK,2020,M04,0
AK,2020,M05,0
AK,2020,M06,0
AK,2020,M07,0
AK,2020,M08,0
AK,2020,M09,0
AK,2020,M10,0
AK,2020,M11,0
AK,2020,M12,0
AK,2021,M01,0
AK,2021,M02,0
AK,2021,M03,0
AK,2021,M04,0
AK,2021,M05,0
AK,2021,M06,0
AK,2021,M07,0
AK,2021,M08,0
AK,2021,M09,0
AK,2021,M10,0
AK,2021,M11,0
AK,2021,M12,0
AK,2022,M01,0
AK,2022,M02,0
AK,2022,M03,0
AK,2022,M04,0
AK,2022,M05,0
AK,2022,M06,0
AK,2022,M07,0
AK,2022,M08,0
AK,2022,M09,0
AK,2022,M10,0
AK,2022,M11,0
AK,2022,M12,0
AZ,2012,M01,0
AZ,2012,M02,0
AZ,2012,M03,0
AZ,2012,M04,0
AZ,2012,M05,0
AZ,2012,M06,0
AZ,2012,M07,0
AZ,2012,M08,0
AZ,2012,M09,0
AZ,2012,M10,0
AZ,2012,M11,0
AZ,2012,M12,0
AZ,2013,M01,0
AZ,2013,M02,0
AZ,2013,M03,0
AZ,2013,M04,0
AZ,2013,M05,0
AZ,2013,M06,0
AZ,2013,M07,0
AZ,2013,M08,0
AZ,2013,M09,0
AZ,2013,M10,0
AZ,2013,M11,0
AZ,2013,M12,0
AZ,2014,M01,0
AZ,2014,M02,0
AZ,2014,M03,0
AZ,2014,M04,0
AZ,2014,M05,0
AZ,2014,M06,0
AZ,2014,M07,0
AZ,2014,M08,0
AZ,2014,M09,0
AZ,2014,M10,0
AZ,2014,M11,0
AZ,2014,M12,0
AZ,2015,M01,0
AZ,2015,M02,0
AZ,2015,M03,0
AZ,2015,M04,0
AZ,2015,M05,0
AZ,2015,M06,0
AZ,2015,M07,0
AZ,2015,M08,0
AZ,2015,M09,0
AZ,2015,M10,0
AZ,2015,M11,0
AZ,2015,M12,0
AZ,2016,M01,0
AZ,2016,M02,0
AZ,2016,M03,0
AZ,2016,M04,0
AZ,2016,M05,0
AZ,2016,M06,0
AZ,2016,M07,0
AZ,2016,M08,0
AZ,2016,M09,0
AZ,2016,M10,0
AZ,2016,M11,0
AZ,2016,M12,0
AZ,2017,M01,0
AZ,2017,M02,0
AZ,2017,M03,0
AZ,2017,M04,0
AZ,2017,M05,0
AZ,2017,M06,0
AZ,2017,M07,0
AZ,2017,M08,0
AZ,2017,M09,0
AZ,2017,M10,0
AZ,2017,M11,0
AZ,2017,M12,0
AZ,2018,M01,0
AZ,2018,M02,0
AZ,2018,M03,0
AZ,2018,M04,0
AZ,2018,M05,0
AZ,2018,M06,0
AZ,2018,M07,0
AZ,2018,M08,0
AZ,2018,M09,0
AZ,2018,M10,0
AZ,2018,M11,0
AZ,2018,M12,0
AZ,2019,M01,0
AZ,2019,M02,0
AZ,2019,M03,0
AZ,2019,M04,0
AZ,2019,M05,0
AZ,2019,M06,0
AZ,2019,M07,0
AZ,2019,M08,0
AZ,2019,M09,0
AZ,2019,M10,0
AZ,2019,M11,0
AZ,2019,M12,0
AZ,2020,M01,0
AZ,2020,M02,0
AZ,2020,M03,0
AZ,2020,M04,0
AZ,2020,M05,0
AZ,2020,M06,0
AZ,2020,M07,0
AZ,2020,M08,0
AZ,2020,M09,0
AZ,2020,M10,0
AZ,2020,M11,0
AZ,2020,M12,0
AZ,2021,M01,0
AZ,2021,M02,0
AZ,2021,M03,0
AZ,2021,M04,0
AZ,2021,M05,0
AZ,2021,M06,0
AZ,2021,M07,0
AZ,2021,M08,0
AZ,2021,M09,0
AZ,2021,M10,0
AZ,2021,M11,0
AZ,2021,M12,0
AZ,2022,M01,0
AZ,2022,M02,0
AZ,2022,M03,0
AZ,2022,M04,0
AZ,2022,M05,0
AZ,2022,M06,0
AZ,2022,M07,0
AZ,2022,M08,0
AZ,2022,M09,0
AZ,2022,M10,0
AZ,2022,M11,0
AZ,2022,M12,0
AR,2012,M01,0
AR,2012,M02,0
AR,2012,M03,0
AR,2012,M04,0
AR,2012,M05,0
AR,2012,M06,0
AR,2012,M07,0
AR,2012,M08,0
AR,2012,M09,0
AR,2012,M10,0
AR,2012,M11,0
AR,2012,M12,0
AR,2013,M01,0
AR,2013,M02,0
AR,2013,M03,0
AR,2013,M04,0
AR,2013,M05,0
AR,2013,M06,0
AR,2013,M07,0
AR,2013,M08,0
AR,2013,M09,0
AR,2013,M10,0
AR,2013,M11,0
AR,2013,M12,0
AR,2014,M01,0
AR,2014,M02,0
AR,2014,M03,0
AR,2014,M04,0
AR,2014,M05,0
AR,2014,M06,0
AR,2014,M07,0
AR,2014,M08,0
AR,2014,M09,0
AR,2014,M10,0
AR,2014,M11,0
AR,2014,M12,0
AR,2015,M01,0
AR,2015,M02,0
AR,2015,M03,0
AR,2015,M04,0
AR,2015,M05,0
AR,2015,M06,0
AR,2015,M07,0
AR,2015,M08,0
AR,2015,M09,0
AR,2015,M10,0
AR,2015,M11,0
AR,2015,M12,0
AR,2016,M01,0
AR,2016,M02,0
AR,2016,M03,0
AR,2016,M04,0
AR,2016,M05,0
AR,2016,M06,0
AR,2016,M07,0
AR,2016,M08,0
AR,2016,M09,0
AR,2016,M10,0
AR,2016,M11,0
AR,2016,M12,0
AR,2017,M01,0
AR,2017,M02,0
AR,2017,M03,0
AR,2017,M04,0
AR,2017,M05,0
AR,2017,M06,0
AR,2017,M07,0
AR,2017,M08,0
AR,2017,M09,0
AR,2017,M10,0
AR,2017,M11,0
AR,2017,M12,0
AR,2018,M01,0
AR,2018,M02,0
AR,2018,M03,0
AR,2018,M04,0
AR,2018,M05,0
AR,2018,M06,0
AR,2018,M07,0
AR,2018,M08,0
AR,2018,M09,0
AR,2018,M10,0
AR,2018,M11,0
AR,2018,M12,0
AR,2019,M01,0
AR,2019,M02,0
AR,2019,M03,0
AR,2019,M04,0
AR,2019,M05,0
AR,2019,M06,0
AR,2019,M07,0
AR,2019,M08,0
AR,2019,M09,0
AR,2019,M10,0
AR,2019,M11,0
AR,2019,M12,0
AR,2020,M01,0
AR,2020,M02,0
AR,2020,M03,0
AR,2020,M04,0
AR,2020,M05,0
AR,2020,M06,0
AR,2020,M07,0
AR,2020,M08,0
AR,2020,M09,0
AR,2020,M10,0
AR,2020,M11,0
AR,2020,M12,0
AR,2021,M01,0
AR,2021,M02,0
AR,2021,M03,0
AR,2021,M04,0
AR,2021,M05,0
AR,2021,M06,0
AR,2021,M07,0
AR,2021,M08,0
AR,2021,M09,0
AR,2021,M10,0
AR,2021,M11,0
AR,2021,M12,0
AR,2022,M01,0
AR,2022,M02,0
AR,2022,M03,0
AR,2022,M04,0
AR,2022,M05,0
AR,2022,M06,0
AR,2022,M07,0
AR,2022,M08,0
AR,2022,M09,0
AR,2022,M10,0
AR,2022,M11,0
AR,2022,M12,0
CA,2012,M01,0
CA,2012,M02,0
CA,2012,M03,0
CA,2012,M04,0
CA,2012,M05,0
CA,2012,M06,0
CA,2012,M07,0
CA,2012,M08,0
CA,2012,M09,0
CA,2012,M10,0
CA,2012,M11,0
CA,2012,M12,0
CA,2013,M01,0
CA,2013,M02,0
CA,2013,M03,0
CA,2013,M04,0
CA,2013,M05,0
CA,2013,M06,0
CA,2013,M07,0
CA,2013,M08,0
CA,2013,M09,0
CA,2013,M10,0
CA,2013,M11,0
CA,2013,M12,0
CA,2014,M01,0
CA,2014,M02,0
CA,2014,M03,0
CA,2014,M04,0
CA,2014,M05,0
CA,2014,M06,0
CA,2014,M07,0
CA,2014,M08,0
CA,2014,M09,0
CA,2014,M10,0
CA,2014,M11,0
CA,2014,M12,0
CA,2015,M01,0
CA,2015,M02,0
CA,2015,M03,0
CA,2015,M04,0
CA,2015,M05,0
CA,2015,M06,0
CA,2015,M07,0
CA,2015,M08,0
CA,2015,M09,0
CA,2015,M10,0
CA,2015,M11,0
CA,2015,M12,0
CA,2016,M01,0
CA,2016,M02,0
CA,2016,M03,0
CA,2016,M04,0
CA,2016,M05,0
CA,2016,M06,0
CA,2016,M07,0
CA,2016,M08,0
CA,2016,M09,0
CA,2016,M10,0
CA,2016,M11,0
CA,2016,M12,0
CA,2017,M01,0
CA,2017,M02,0
CA,2017,M03,0
CA,2017,M04,0
CA,2017,M05,0
CA,2017,M06,0
CA,2017,M07,0
CA,2017,M08,0
CA,2017,M09,0
CA,2017,M10,0
CA,2017,M11,0
CA,2017,M12,0
CA,2018,M01,0
CA,2018,M02,0
CA,2018,M03,0
CA,2018,M04,0
CA,2018,M05,0
CA,2018,M06,0
CA,2018,M07,0
CA,2018,M08,0
CA,2018,M09,0
CA,2018,M10,0
CA,2018,M11,0
CA,2018,M12,0
CA,2019,M01,0
CA,2019,M02,0
CA,2019,M03,0
CA,2019,M04,0
CA,2019,M05,0
CA,2019,M06,0
CA,2019,M07,0
CA,2019,M08,0
CA,2019,M09,0
CA,2019,M10,0
CA,2019,M11,0
CA,2019,M12,0
CA,2020,M01,0
CA,2020,M02,0
CA,2020,M03,0
CA,2020,M04,0
CA,2020,M05,0
CA,2020,M06,0
CA,2020,M07,0
CA,2020,M08,0
CA,2020,M09,0
CA,2020,M10,0
CA,2020,M11,0
CA,2020,M12,0
CA,2021,M01,0
CA,2021,M02,0
CA,2021,M03,0
CA,2021,M04,0
CA,2021,M05,0
CA,2021,M06,0
CA,2021,M07,0
CA,2021,M08,0
CA,2021,M09,0
CA,2021,M10,0
CA,2021,M11,0
CA,2021,M12,0
CA,2022,M01,0
CA,2022,M02,0
CA,2022,M03,0
CA,2022,M04,0
CA,2022,M05,0
CA,2022,M06,0
CA,2022,M07,0
CA,2022,M08,0
CA,2022,M09,0
CA,2022,M10,0
CA,2022,M11,0
CA,2022,M12,0
CO,2012,M01,0
CO,2012,M02,0
CO,2012,M03,0
CO,2012,M04,0
CO,2012,M05,0
CO,2012,M06,0
CO,2012,M07,0
CO,2012,M08,0
CO,2012,M09,0
CO,2012,M10,0
CO,2012,M11,0
CO,2012,M12,0
CO,2013,M01,0
CO,2013,M02,0
CO,2013,M03,0
CO,2013,M04,0
CO,2013,M05,0
CO,2013,M06,0
CO,2013,M07,0
CO,2013,M08,0
CO,2013,M09,0
CO,2013,M10,0
CO,2013,M11,0
CO,2013,M12,0
CO,2014,M01,0
CO,2014,M02,0
CO,2014,M03,0
CO,2014,M04,0
CO,2014,M05,0
CO,2014,M06,0
CO,2014,M07,0
CO,2014,M08,0
CO,2014,M09,0
CO,2014,M10,0
CO,2014,M11,0
CO,2014,M12,0
CO,2015,M01,0
CO,2015,M02,0
CO,2015,M03,0
CO,2015,M04,0
CO,2015,M05,0
CO,2015,M06,0
CO,2015,M07,0
CO,2015,M08,0
CO,2015,M09,0
CO,2015,M10,0
CO,2015,M11,0
CO,2015,M12,0
CO,2016,M01,0
CO,2016,M02,0
CO,2016,M03,0
CO,2016,M04,0
CO,2016,M05,0
CO,2016,M06,0
CO,2016,M07,0
CO,2016,M08,0
CO,2016,M09,0
CO,2016,M10,0
CO,2016,M11,0
CO,2016,M12,0
CO,2017,M01,0
CO,2017,M02,0
CO,2017,M03,0
CO,2017,M04,0
CO,2017,M05,0
CO,2017,M06,0
CO,2017,M07,0
CO,2017,M08,0
CO,2017,M09,0
CO,2017,M10,0
CO,2017,M11,0
CO,2017,M12,0
CO,2018,M01,0
CO,2018,M02,0
CO,2018,M03,0
CO,2018,M04,0
CO,2018,M05,0
CO,2018,M06,0
CO,2018,M07,0
CO,2018,M08,0
CO,2018,M09,0
CO,2018,M10,0
CO,2018,M11,0
CO,2018,M12,0
CO,2019,M01,0
CO,2019,M02,0
CO,2019,M03,0
CO,2019,M04,0
CO,2019,M05,0
CO,2019,M06,0
CO,2019,M07,0
CO,2019,M08,0
CO,2019,M09,0
CO,2019,M10,0
CO,2019,M11,0
CO,2019,M12,0
CO,2020,M01,0
CO,2020,M02,0
CO,2020,M03,0
CO,2020,M04,0
CO,2020,M05,0
CO,2020,M06,0
CO,2020,M07,0
CO,2020,M08,0
CO,2020,M09,0
CO,2020,M10,0
CO,2020,M11,0
CO,2020,M12,0
CO,2021,M01,0
CO,2021,M02,0
CO,2021,M03,0
CO,2021,M04,0
CO,2021,M05,0
CO,2021,M06,0
CO,2021,M07,0
CO,2021,M08,0
CO,2021,M09,0
CO,2021,M10,0
CO,2021,M11,0
CO,2021,M12,0
CO,2022,M01,0
CO,2022,M02,0
CO,2022,M03,0
CO,2022,M04,0
CO,2022,M05,0
CO,2022,M06,0
CO,2022,M07,0
CO,2022,M08,0
CO,2022,M09,0
CO,2022,M10,0
CO,2022,M11,0
CO,2022,M12,0
CT,2012,M01,0
CT,2012,M02,0
CT,2012,M03,0
CT,2012,M04,0
CT,2012,M05,0
CT,2012,M06,0
CT,2012,M07,0
CT,2012,M08,0
CT,2012,M09,0
CT,2012,M10,0
CT,2012,M11,0
CT,2012,M12,0
CT,2013,M01,0
CT,2013,M02,0
CT,2013,M03,0
CT,2013,M04,0
CT,2013,M05,0
CT,2013,M06,0
CT,2013,M07,0
CT,2013,M08,0
CT,2013,M09,0
CT,2013,M10,0
CT,2013,M11,0
CT,2013,M12,0
CT,2014,M01,0
CT,2014,M02,0
CT,2014,M03,0
CT,2014,M04,0
CT,2014,M05,0
CT,2014,M06,0
CT,2014,M07,0
CT,2014,M08,0
CT,2014,M09,0
CT,2014,M10,0
CT,2014,M11,0
CT,2014,M12,0
CT,2015,M01,0
CT,2015,M02,0
CT,2015,M03,0
CT,2015,M04,0
CT,2015,M05,0
CT,2015,M06,0
CT,2015,M07,0
CT,2015,M08,0
CT,2015,M09,0
CT,2015,M10,0
CT,2015,M11,0
CT,2015,M12,0
CT,2016,M01,0
CT,2016,M02,0
CT,2016,M03,0
CT,2016,M04,0
CT,2016,M05,0
CT,2016,M06,0
CT,2016,M07,0
CT,2016,M08,0
CT,2016,M09,0
CT,2016,M10,0
CT,2016,M11,0
CT,2016,M12,0
CT,2017,M01,0
CT,2017,M02,0
CT,2017,M03,0
CT,2017,M04,0
CT,2017,M05,0
CT,2017,M06,0
CT,2017,M07,0
CT,2017,M08,0
CT,2017,M09,0
CT,2017,M10,0
CT,2017,M11,0
CT,2017,M12,0
CT,2018,M01,0
CT,2018,M02,0
CT,2018,M03,0
CT,2018,M04,0
CT,2018,M05,0
CT,2018,M06,0
CT,2018,M07,0
CT,2018,M08,0
CT,2018,M09,0
CT,2018,M10,0
CT,2018,M11,0
CT,2018,M12,0
CT,2019,M01,0
CT,2019,M02,0
CT,2019,M03,0
CT,2019,M04,0
CT,2019,M05,0
CT,2019,M06,0
CT,2019,M07,0
CT,2019,M08,0
CT,2019,M09,0
CT,2019,M10,0
CT,2019,M11,0
CT,2019,M12,0
CT,2020,M01,0
CT,2020,M02,0
CT,2020,M03,0
CT,2020,M04,0
CT,2020,M05,0
CT,2020,M06,0
CT,2020,M07,0
CT,2020,M08,0
CT,2020,M09,0
CT,2020,M10,0
CT,2020,M11,0
CT,2020,M12,0
CT,2021,M01,0
CT,2021,M02,0
CT,2021,M03,0
CT,2021,M04,0
CT,2021,M05,0
CT,2021,M06,0
CT,2021,M07,0
CT,2021,M08,0
CT,2021,M09,0
CT,2021,M10,0
CT,2021,M11,0
CT,2021,M12,0
CT,2022,M01,0
CT,2022,M02,0
CT,2022,M03,0
CT,2022,M04,0
CT,2022,M05,0
CT,2022,M06,0
CT,2022,M07,0
CT,2022,M08,0
CT,2022,M09,0
CT,2022,M10,0
CT,2022,M11,0
CT,2022,M12,0
DE,2012,M01,0
DE,2012,M02,0
DE,2012,M03,0
DE,2012,M04,0
DE,2012,M05,0
DE,2012,M06,0
DE,2012,M07,0
DE,2012,M08,0
DE,2012,M09,0
DE,2012,M10,0
DE,2012,M11,0
DE,2012,M12,0
DE,2013,M01,0
DE,2013,M02,0
DE,2013,M03,0
DE,2013,M04,0
DE,2013,M05,0
DE,2013,M06,0
DE,2013,M07,0
DE,2013,M08,0
DE,2013,M09,0
DE,2013,M10,0
DE,2013,M11,0
DE,2013,M12,0
DE,2014,M01,0
DE,2014,M02,0
DE,2014,M03,0
DE,2014,M04,0
DE,2014,M05,0
DE,2014,M06,0
DE,2014,M07,0
DE,2014,M08,0
DE,2014,M09,0
DE,2014,M10,0
DE,2014,M11,0
DE,2014,M12,0
DE,2015,M01,0
DE,2015,M02,0
DE,2015,M03,0
DE,2015,M04,0
DE,2015,M05,0
DE,2015,M06,0
DE,2015,M07,0
DE,2015,M08,0
DE,2015,M09,0
DE,2015,M10,0
DE,2015,M11,0
DE,2015,M12,0
DE,2016,M01,0
DE,2016,M02,0
DE,2016,M03,0
DE,2016,M04,0
DE,2016,M05,0
DE,2016,M06,0
DE,2016,M07,0
DE,2016,M08,0
DE,2016,M09,0
DE,2016,M10,0
DE,2016,M11,0
DE,2016,M12,0
DE,2017,M01,0
DE,2017,M02,0
DE,2017,M03,0
DE,2017,M04,0
DE,2017,M05,0
DE,2017,M06,0
DE,2017,M07,0
DE,2017,M08,0
DE,2017,M09,0
DE,2017,M10,0
DE,2017,M11,0
DE,2017,M12,0
DE,2018,M01,0
DE,2018,M02,0
DE,2018,M03,0
DE,2018,M04,0
DE,2018,M05,0
DE,2018,M06,0
DE,2018,M07,0
DE,2018,M08,0
DE,2018,M09,0
DE,2018,M10,0
DE,2018,M11,0
DE,2018,M12,0
DE,2019,M01,0
DE,2019,M02,0
DE,2019,M03,0
DE,2019,M04,0
DE,2019,M05,0
DE,2019,M06,0
DE,2019,M07,0
DE,2019,M08,0
DE,2019,M09,0
DE,2019,M10,0
DE,2019,M11,0
DE,2019,M12,0
DE,2020,M01,0
DE,2020,M02,0
DE,2020,M03,0
DE,2020,M04,0
DE,2020,M05,0
DE,2020,M06,0
DE,2020,M07,0
DE,2020,M08,0
DE,2020,M09,0
DE,2020,M10,0
DE,2020,M11,0
DE,2020,M12,0
DE,2021,M01,0
DE,2021,M02,0
DE,2021,M03,0
DE,2021,M04,0
DE,2021,M05,0
DE,2021,M06,0
DE,2021,M07,0
DE,2021,M08,0
DE,2021,M09,0
DE,2021,M10,0
DE,2021,M11,0
DE,2021,M12,0
DE,2022,M01,0
DE,2022,M02,0
DE,2022,M03,0
DE,2022,M04,0
DE,2022,M05,0
DE,2022,M06,0
DE,2022,M07,0
DE,2022,M08,0
DE,2022,M09,0
DE,2022,M10,0
DE,2022,M11,0
DE,2022,M12,0
FL,2012,M01,0
FL,2012,M02,0
FL,2012,M03,0
FL,2012,M04,0
FL,2012,M05,0
FL,2012,M06,0
FL,2012,M07,0
FL,2012,M08,0
FL,2012,M09,0
FL,2012,M10,0
FL,2012,M11,0
FL,2012,M12,0
FL,2013,M01,0
FL,2013,M02,0
FL,2013,M03,0
FL,2013,M04,0
FL,2013,M05,0
FL,2013,M06,0
FL,2013,M07,0
FL,2013,M08,0
FL,2013,M09,0
FL,2013,M10,0
FL,2013,M11,0
FL,2013,M12,0
FL,2014,M01,0
FL,2014,M02,0
FL,2014,M03,0
FL,2014,M04,0
FL,2014,M05,0
FL,2014,M06,0
FL,2014,M07,0
FL,2014,M08,0
FL,2014,M09,0
FL,2014,M10,0
FL,2014,M11,0
FL,2014,M12,0
FL,2015,M01,0
FL,2015,M02,0
FL,2015,M03,0
FL,2015,M04,0
FL,2015,M05,0
FL,2015,M06,0
FL,2015,M07,0
FL,2015,M08,0
FL,2015,M09,0
FL,2015,M10,0
FL,2015,M11,0
FL,2015,M12,0
FL,2016,M01,0
FL,2016,M02,0
FL,2016,M03,0
FL,2016,M04,0
FL,2016,M05,0
FL,2016,M06,0
FL,2016,M07,0
FL,2016,M08,0
FL,2016,M09,0
FL,2016,M10,0
FL,2016,M11,0
FL,2016,M12,0
FL,2017,M01,0
FL,2017,M02,0
FL,2017,M03,0
FL,2017,M04,0
FL,2017,M05,0
FL,2017,M06,0
FL,2017,M07,0
FL,2017,M08,0
FL,2017,M09,0
FL,2017,M10,0
FL,2017,M11,0
FL,2017,M12,0
FL,2018,M01,0
FL,2018,M02,0
FL,2018,M03,0
FL,2018,M04,0
FL,2018,M05,0
FL,2018,M06,0
FL,2018,M07,0
FL,2018,M08,0
FL,2018,M09,0
FL,2018,M10,0
FL,2018,M11,0
FL,2018,M12,0
FL,2019,M01,0
FL,2019,M02,0
FL,2019,M03,0
FL,2019,M04,0
FL,2019,M05,0
FL,2019,M06,0
FL,2019,M07,0
FL,2019,M08,0
FL,2019,M09,0
FL,2019,M10,0
FL,2019,M11,0
FL,2019,M12,0
FL,2020,M01,0
FL,2020,M02,0
FL,2020,M03,0
FL,2020,M04,0
FL,2020,M05,0
FL,2020,M06,0
FL,2020,M07,0
FL,2020,M08,0
FL,2020,M09,0
FL,2020,M10,0
FL,2020,M11,0
FL,2020,M12,0
FL,2021,M01,0
FL,2021,M02,0
FL,2021,M03,0
FL,2021,M04,0
FL,2021,M05,0
FL,2021,M06,0
FL,2021,M07,0
FL,2021,M08,0
FL,2021,M09,0
FL,2021,M10,0
FL,2021,M11,0
FL,2021,M12,0
FL,2022,M01,0
FL,2022,M02,0
FL,2022,M03,0
FL,2022,M04,0
FL,2022,M05,0
FL,2022,M06,0
FL,2022,M07,0
FL,2022,M08,0
FL,2022,M09,0
FL,2022,M10,0
FL,2022,M11,0
FL,2022,M12,0
GA,2012,M01,0
GA,2012,M02,0
GA,2012,M03,0
GA,2012,M04,0
GA,2012,M05,0
GA,2012,M06,0
GA,2012,M07,0
GA,2012,M08,0
GA,2012,M09,0
GA,2012,M10,0
GA,2012,M11,0
GA,2012,M12,0
GA,2013,M01,0
GA,2013,M02,0
GA,2013,M03,0
GA,2013,M04,0
GA,2013,M05,0
GA,2013,M06,0
GA,2013,M07,0
GA,2013,M08,0
GA,2013,M09,0
GA,2013,M10,0
GA,2013,M11,0
GA,2013,M12,0
GA,2014,M01,0
GA,2014,M02,0
GA,2014,M03,0
GA,2014,M04,0
GA,2014,M05,0
GA,2014,M06,0
GA,2014,M07,0
GA,2014,M08,0
GA,2014,M09,0
GA,2014,M10,0
GA,2014,M11,0
GA,2014,M12,0
GA,2015,M01,0
GA,2015,M02,0
GA,2015,M03,0
GA,2015,M04,0
GA,2015,M05,0
GA,2015,M06,0
GA,2015,M07,0
GA,2015,M08,0
GA,2015,M09,0
GA,2015,M10,0
GA,2015,M11,0
GA,2015,M12,0
GA,2016,M01,0
GA,2016,M02,0
GA,2016,M03,0
GA,2016,M04,0
GA,2016,M05,0
GA,2016,M06,0
GA,2016,M07,0
GA,2016,M08,0
GA,2016,M09,0
GA,2016,M10,0
GA,2016,M11,0
GA,2016,M12,0
GA,2017,M01,0
GA,2017,M02,0
GA,2017,M03,0
GA,2017,M04,0
GA,2017,M05,0
GA,2017,M06,0
GA,2017,M07,0
GA,2017,M08,0
GA,2017,M09,0
