state,Pandemic_4,Pandemic_1,Pandemic_7,Pandemic_6,Pandemic_11,Pandemic_8,Year,Spare,M,Period
CA,205543,174193,5507,5145,522,510,2022,11,M,M11
CA,276385,231029,7775,7380,828,819,2022,12,M,M12
CA,122533,102506,4086,3860,165,161,2023,1,M,M1
CA,36666,32762,427,400,0,0,2023,2,M,M2
CO,172,137,9,9,0,0,2020,1,M,M1
CO,192,121,36,31,0,0,2020,2,M,M2
CO,13610,11568,4030,3960,471,399,2020,3,M,M3
CO,24565,21631,4924,4794,1736,1318,2020,4,M,M4
CO,18605,17451,2208,2184,463,366,2020,5,M,M5
CO,14203,13387,1027,1012,54,48,2020,6,M,M6
CO,29339,27924,1869,1854,74,74,2020,7,M,M7
CO,19580,17994,1085,1051,0,0,2020,8,M,M8
CO,28703,25853,1499,1435,0,0,2020,9,M,M9
CO,86704,82051,5196,4997,287,265,2020,10,M,M10
CO,262738,256018,13387,13059,1850,1694,2020,11,M,M11
CO,192720,184151,9363,9052,1174,1063,2020,12,M,M12
CO,116681,105224,5281,5024,326,296,2021,1,M,M1
CO,62903,55164,2732,2642,24,22,2021,2,M,M2
CO,68265,59234,3198,3113,0,0,2021,3,M,M3
CO,97598,88107,5031,4859,22,18,2021,4,M,M4
CO,57389,51662,4123,3958,24,20,2021,5,M,M5
CO,26485,22202,2028,1887,0,0,2021,6,M,M6
CO,38374,33292,2438,2328,35,35,2021,7,M,M7
CO,85181,75989,5151,4946,22,20,2021,8,M,M8
CO,111468,98756,6003,5707,333,296,2021,9,M,M9
CO,149528,132444,8377,7982,673,602,2021,10,M,M10
CO,173253,155023,9757,9276,872,741,2021,11,M,M11
CO,215374,196300,7492,7180,498,434,2021,12,M,M12
CO,660628,598894,13512,12968,1026,910,2022,1,M,M1
CO,108461,92918,3206,3093,47,37,2022,2,M,M2
CO,58325,50966,849,818,0,0,2022,3,M,M3
CO,74137,65743,863,835,0,0,2022,4,M,M4
CO,134097,118439,2133,2052,0,0,2022,5,M,M5
CO,170652,150353,3449,3271,29,27,2022,6,M,M6
CO,115890,100081,3261,3121,24,20,2022,7,M,M7
CO,57062,47845,1855,1722,0,0,2022,8,M,M8
CO,20793,17709,865,831,0,0,2022,9,M,M9
CO,20027,17416,1019,989,12,11,2022,10,M,M10
CO,33238,29162,2064,2004,28,28,2022,11,M,M11
CO,24274,20022,1558,1518,15,13,2022,12,M,M12
CO,11936,9635,832,799,0,0,2023,1,M,M1
CO,5143,4120,196,191,0,0,2023,2,M,M2
CT,34,34,30,30,0,0,2020,1,M,M1
CT,74,54,34,30,0,0,2020,2,M,M2
CT,7618,7202,2990,2868,424,404,2020,3,M,M3
CT,18643,16679,7834,7453,4869,3711,2020,4,M,M4
CT,7294,6469,2944,2844,1725,1333,2020,5,M,M5
CT,59839,58597,811,791,92,64,2020,6,M,M6
CT,8034,7783,315,301,0,0,2020,7,M,M7
CT,7025,6635,391,379,0,0,2020,8,M,M8
CT,9173,8476,323,311,0,0,2020,9,M,M9
CT,32892,29315,629,501,0,0,2020,10,M,M10
CT,82662,77338,3192,2889,264,178,2020,11,M,M11
CT,122539,118680,4044,3733,763,640,2020,12,M,M12
CT,75508,73709,2660,2440,389,305,2021,1,M,M1
CT,2310,2046,1569,1437,232,190,2021,2,M,M2
CT,17839,15043,1186,1031,22,16,2021,3,M,M3
CT,802,650,32,18,122,90,2021,4,M,M4
CT,207251,176713,165,155,0,0,2021,5,M,M5
CT,11981,10375,17,13,0,0,2021,6,M,M6
CT,23255,19258,37,33,0,0,2021,7,M,M7
