"State","Year","Period","Pandemic_4","Pandemic_1","Pandemic_7","Pandemic_6","Pandemic_11","Pandemic_8"
"CT","2022","M06",10303,8936,14,12,44,42
"CT","2022","M07",183,154,38,34,48,48
"CT","2022","M08",111216,98765,606,602,0,0
"CT","2022","M09",12262,12238,369,368,0,0
"CT","2022","M10",6691,6677,155,155,0,0
"CT","2022","M11",328,322,11,11,0,0
"CT","2022","M12",114,104,44,44,59,55
"CT","2023","M01",17337,17291,694,694,0,0
"DC","2020","M01",0,0,0,0,0,0
"DC","2020","M02",72,72,20,20,0,0
"DC","2020","M03",2466,2466,692,692,86,86
"DC","2020","M04",6596,6596,2168,2168,460,460
"DC","2020","M05",4342,4342,1402,1402,198,198
"DC","2020","M06",1152,1152,440,440,0,0
"DC","2020","M07",8720,8720,480,480,48,48
"DC","2020","M08",1422,1422,326,326,0,0
"DC","2020","M09",1264,1264,264,264,0,0
"DC","2020","M10",1586,1586,336,336,0,0
"DC","2020","M11",3722,3722,656,656,44,44
"DC","2020","M12",5443,5440,1008,1008,108,108
"DC","2021","M01",35864,35860,2086,2086,204,204
"DC","2021","M02",7068,7068,1258,1258,76,76
"DC","2021","M03",7109,7109,1162,1162,24,24
"DC","2021","M04",9574,9574,1302,1302,0,0
"DC","2021","M05",1950,1950,474,474,0,0
"DC","2021","M06",1130,1130,222,222,0,0
"DC","2021","M07",2244,2244,276,276,0,0
"DC","2021","M08",9822,9822,1830,1830,0,0
"DC","2021","M09",11450,11450,1790,1790,0,0
"DC","2021","M10",5882,5882,676,676,0,0
"DC","2021","M11",5160,5160,640,640,0,0
"DC","2021","M12",12522,12506,3148,3148,32,32
"DC","2022","M01",111480,111466,7852,7852,72,72
"DC","2022","M02",9741,9741,474,474,0,0
"DC","2022","M03",3732,3732,78,78,0,0
"DC","2022","M04",4918,4918,52,52,0,0
"DC","2022","M06",11,7,0,0,0,0
"DC","2022","M07",31,18,0,0,0,0
"DE","2020","M01",0,0,0,0,0,0
"DE","2020","M02",0,0,0,0,0,0
"DE","2020","M03",600,598,36,36,0,0
"DE","2020","M04",8484,8264,38,38,0,0
"DE","2020","M05",8771,7424,10,10,0,0
"DE","2020","M06",3858,3711,0,0,0,0
"DE","2020","M07",6266,6222,0,0,0,0
"DE","2020","M08",4792,4750,0,0,0,0
"DE","2020","M09",5839,5702,2,2,0,0
"DE","2020","M10",8538,8363,0,0,0,0
"DE","2020","M11",21694,21270,0,0,0,0
"DE","2020","M12",42743,41025,0,0,0,0
"DE","2021","M01",40240,37695,0,0,0,0
"DE","2021","M02",16861,15328,0,0,0,0
"DE","2021","M03",16110,14197,0,0,0,0
"DE","2021","M04",18527,15854,0,0,0,0
"DE","2021","M05",8033,7134,2,2,0,0
"DE","2021","M06",1706,1451,0,0,0,0
"DE","2021","M07",3443,2884,0,0,0,0
"DE","2021","M08",17087,14587,0,0,0,0
"DE","2021","M09",26632,23357,0,0,0,0
