State,Year,Period,Pandemic_10
GA,2021,M11,1445
GA,2021,M12,933
GA,2022,M01,1533
GA,2022,M02,2439
GA,2022,M03,1572
GA,2022,M04,819
GA,2022,M05,392
GA,2022,M06,381
GA,2022,M07,471
GA,2022,M08,722
GA,2022,M09,509
GA,2022,M10,0
HI,2020,M01,0
HI,2020,M02,0
HI,2020,M03,0
HI,2020,M04,16
HI,2020,M05,1
HI,2020,M06,1
HI,2020,M07,8
HI,2020,M08,44
HI,2020,M09,66
HI,2020,M10,83
HI,2020,M11,25
HI,2020,M12,44
HI,2021,M01,122
HI,2021,M02,29
HI,2021,M03,24
HI,2021,M04,20
HI,2021,M05,17
HI,2021,M06,17
HI,2021,M07,20
HI,2021,M08,52
HI,2021,M09,193
HI,2021,M10,134
HI,2021,M11,102
HI,2021,M12,72
HI,2022,M01,91
HI,2022,M02,153
HI,2022,M03,45
HI,2022,M04,39
HI,2022,M05,33
HI,2022,M06,53
HI,2022,M07,67
HI,2022,M08,73
HI,2022,M09,42
HI,2022,M10,0
ID,2020,M01,0
ID,2020,M02,0
ID,2020,M03,8
ID,2020,M04,52
ID,2020,M05,22
ID,2020,M06,10
ID,2020,M07,96
ID,2020,M08,173
ID,2020,M09,108
ID,2020,M10,160
ID,2020,M11,300
ID,2020,M12,507
ID,2021,M01,289
ID,2021,M02,135
ID,2021,M03,102
ID,2021,M04,84
ID,2021,M05,44
ID,2021,M06,62
ID,2021,M07,45
ID,2021,M08,166
ID,2021,M09,544
ID,2021,M10,631
ID,2021,M11,391
ID,2021,M12,233
ID,2022,M01,259
ID,2022,M02,330
ID,2022,M03,122
ID,2022,M04,54
ID,2022,M05,13
ID,2022,M06,33
ID,2022,M07,62
ID,2022,M08,80
ID,2022,M09,61
ID,2022,M10,0
IL,2020,M01,0
IL,2020,M02,0
IL,2020,M03,99
IL,2020,M04,2256
IL,2020,M05,3035
IL,2020,M06,1533
IL,2020,M07,769
IL,2020,M08,543
IL,2020,M09,681
IL,2020,M10,1124
IL,2020,M11,2945
IL,2020,M12,4993
IL,2021,M01,3275
IL,2021,M02,1482
IL,2021,M03,844
IL,2021,M04,712
IL,2021,M05,932
IL,2021,M06,450
IL,2021,M07,243
IL,2021,M08,582
IL,2021,M09,1163
IL,2021,M10,959
IL,2021,M11,752
IL,2021,M12,1645
IL,2022,M01,3647
IL,2022,M02,2237
IL,2022,M03,763
IL,2022,M04,239
IL,2022,M05,232
IL,2022,M06,453
IL,2022,M07,294
IL,2022,M08,446
IL,2022,M09,370
IL,2022,M10,0
IN,2020,M01,0
IN,2020,M02,0
IN,2020,M03,112
IN,2020,M04,1049
IN,2020,M05,952
IN,2020,M06,456
IN,2020,M07,317
IN,2020,M08,377
IN,2020,M09,382
IN,2020,M10,859
IN,2020,M11,1928
IN,2020,M12,2958
IN,2021,M01,1906
IN,2021,M02,1277
IN,2021,M03,466
IN,2021,M04,293
IN,2021,M05,288
IN,2021,M06,230
IN,2021,M07,155
IN,2021,M08,486
IN,2021,M09,1167
IN,2021,M10,1025
IN,2021,M11,874
IN,2021,M12,1480
IN,2022,M01,2319
IN,2022,M02,1487
IN,2022,M03,530
IN,2022,M04,214
IN,2022,M05,113
IN,2022,M06,177
IN,2022,M07,229
IN,2022,M08,312
IN,2022,M09,290
IN,2022,M10,0
IA,2020,M01,0
IA,2020,M02,0
IA,2020,M03,7
IA,2020,M04,155
IA,2020,M05,373
IA,2020,M06,181
IA,2020,M07,156
IA,2020,M08,248
IA,2020,M09,238
IA,2020,M10,358
IA,2020,M11,710
IA,2020,M12,1465
IA,2021,M01,1010
IA,2021,M02,570
IA,2021,M03,272
IA,2021,M04,207
IA,2021,M05,105
IA,2021,M06,83
IA,2021,M07,45
IA,2021,M08,85
IA,2021,M09,295
IA,2021,M10,402
IA,2021,M11,389
IA,2021,M12,504
IA,2022,M01,643
IA,2022,M02,584
IA,2022,M03,360
IA,2022,M04,84
IA,2022,M05,58
IA,2022,M06,101
IA,2022,M07,94
IA,2022,M08,158
IA,2022,M09,137
IA,2022,M10,0
KS,2020,M01,0
KS,2020,M02,0
KS,2020,M03,9
KS,2020,M04,125
KS,2020,M05,81
KS,2020,M06,58
KS,2020,M07,85
KS,2020,M08,95
KS,2020,M09,227
KS,2020,M10,351
KS,2020,M11,532
KS,2020,M12,1192
KS,2021,M01,1049
KS,2021,M02,926
KS,2021,M03,178
KS,2021,M04,75
KS,2021,M05,94
KS,2021,M06,79
KS,2021,M07,105
KS,2021,M08,299
KS,2021,M09,495
KS,2021,M10,362
KS,2021,M11,272
KS,2021,M12,317
KS,2022,M01,527
KS,2022,M02,410
KS,2022,M03,349
KS,2022,M04,343
KS,2022,M05,304
KS,2022,M06,13
KS,2022,M07,19
KS,2022,M08,48
KS,2022,M09,536
KS,2022,M10,0
KY,2020,M01,0
KY,2020,M02,0
KY,2020,M03,11
KY,2020,M04,229
KY,2020,M05,191
KY,2020,M06,134
KY,2020,M07,170
KY,2020,M08,198
KY,2020,M09,241
KY,2020,M10,311
KY,2020,M11,423
KY,2020,M12,715
KY,2021,M01,1122
KY,2021,M02,892
KY,2021,M03,1453
KY,2021,M04,411
KY,2021,M05,305
KY,2021,M06,414
KY,2021,M07,120
KY,2021,M08,424
KY,2021,M09,1006
KY,2021,M10,1018
KY,2021,M11,1155
KY,2021,M12,1175
KY,2022,M01,842
KY,2022,M02,896
KY,2022,M03,1039
KY,2022,M04,628
KY,2022,M05,422
KY,2022,M06,219
KY,2022,M07,224
KY,2022,M08,324
KY,2022,M09,292
KY,2022,M10,0
LA,2020,M01,0
LA,2020,M02,0
LA,2020,M03,239
LA,2020,M04,1666
LA,2020,M05,886
LA,2020,M06,430
LA,2020,M07,728
LA,2020,M08,1001
LA,2020,M09,561
LA,2020,M10,408
LA,2020,M11,501
LA,2020,M12,1068
LA,2021,M01,1371
LA,2021,M02,749
LA,2021,M03,533
LA,2021,M04,241
LA,2021,M05,194
LA,2021,M06,162
LA,2021,M07,261
LA,2021,M08,1360
LA,2021,M09,1590
LA,2021,M10,598
LA,2021,M11,254
LA,2021,M12,185
LA,2022,M01,688
LA,2022,M02,932
LA,2022,M03,521
LA,2022,M04,121
LA,2022,M05,78
LA,2022,M06,86
LA,2022,M07,159
LA,2022,M08,300
LA,2022,M09,195
LA,2022,M10,0
ME,2020,M01,0
ME,2020,M02,0
ME,2020,M03,5
ME,2020,M04,48
ME,2020,M05,36
ME,2020,M06,16
ME,2020,M07,18
ME,2020,M08,9
ME,2020,M09,9
ME,2020,M10,6
ME,2020,M11,47
ME,2020,M12,153
ME,2021,M01,243
ME,2021,M02,113
ME,2021,M03,40
ME,2021,M04,41
ME,2021,M05,41
ME,2021,M06,33
ME,2021,M07,42
ME,2021,M08,32
ME,2021,M09,90
ME,2021,M10,145
ME,2021,M11,157
ME,2021,M12,207
ME,2022,M01,207
ME,2022,M02,326
ME,2022,M03,138
ME,2022,M04,84
ME,2022,M05,60
ME,2022,M06,69
ME,2022,M07,52
ME,2022,M08,45
ME,2022,M09,68
ME,2022,M10,0
MD,2020,M01,0
MD,2020,M02,0
MD,2020,M03,18
MD,2020,M04,1122
MD,2020,M05,1392
MD,2020,M06,658
MD,2020,M07,303
MD,2020,M08,262
MD,2020,M09,194
MD,2020,M10,198
MD,2020,M11,494
MD,2020,M12,1254
MD,2021,M01,1232
MD,2021,M02,742
MD,2021,M03,417
MD,2021,M04,458
MD,2021,M05,870
MD,2021,M06,127
MD,2021,M07,84
MD,2021,M08,189
MD,2021,M09,428
MD,2021,M10,453
MD,2021,M11,311
MD,2021,M12,552
MD,2022,M01,1726
MD,2022,M02,638
MD,2022,M03,223
MD,2022,M04,111
MD,2022,M05,141
MD,2022,M06,192
MD,2022,M07,184
MD,2022,M08,215
MD,2022,M09,211
MD,2022,M10,0
MA,2020,M01,0
MA,2020,M02,0
MA,2020,M03,89
MA,2020,M04,3473
MA,2020,M05,3284
MA,2020,M06,1208
MA,2020,M07,555
MA,2020,M08,-276
MA,2020,M09,115
MA,2020,M10,223
MA,2020,M11,479
MA,2020,M12,1372
MA,2021,M01,1756
MA,2021,M02,1074
MA,2021,M03,461
MA,2021,M04,339
MA,2021,M05,245
MA,2021,M06,108
MA,2021,M07,105
MA,2021,M08,169
MA,2021,M09,362
MA,2021,M10,355
MA,2021,M11,385
MA,2021,M12,825
MA,2022,M01,1690
