"State","Year","Period","S_Consumption"
"CA",2022,"M04",1535594.66666667
"CA",2022,"M05",1547382.78333333
"CA",2022,"M06",1559170.9
"CA",2022,"M07",1570959.01666667
"CA",2022,"M08",1582747.13333333
"CA",2022,"M09",1594535.25
"CA",2022,"M10",1606323.36666667
"CA",2022,"M11",1618111.48333333
"CA",2022,"M12",1629899.6
"CO",2012,"M01",126237.575
"CO",2012,"M02",126472.65
"CO",2012,"M03",126707.725
"CO",2012,"M04",126942.8
"CO",2012,"M05",127177.875
"CO",2012,"M06",127412.95
"CO",2012,"M07",127648.025
"CO",2012,"M08",127883.1
"CO",2012,"M09",128118.175
"CO",2012,"M10",128353.25
"CO",2012,"M11",128588.325
"CO",2012,"M12",128823.4
"CO",2013,"M01",129340.891666667
"CO",2013,"M02",129858.383333333
"CO",2013,"M03",130375.875
"CO",2013,"M04",130893.366666667
"CO",2013,"M05",131410.858333333
"CO",2013,"M06",131928.35
"CO",2013,"M07",132445.841666667
"CO",2013,"M08",132963.333333333
"CO",2013,"M09",133480.825
"CO",2013,"M10",133998.316666667
"CO",2013,"M11",134515.808333333
"CO",2013,"M12",135033.3
"CO",2014,"M01",135692.125
"CO",2014,"M02",136350.95
"CO",2014,"M03",137009.775
"CO",2014,"M04",137668.6
"CO",2014,"M05",138327.425
"CO",2014,"M06",138986.25
"CO",2014,"M07",139645.075
"CO",2014,"M08",140303.9
"CO",2014,"M09",140962.725
"CO",2014,"M10",141621.55
"CO",2014,"M11",142280.375
"CO",2014,"M12",142939.2
"CO",2015,"M01",143679.741666667
"CO",2015,"M02",144420.283333333
"CO",2015,"M03",145160.825
"CO",2015,"M04",145901.366666667
"CO",2015,"M05",146641.908333333
"CO",2015,"M06",147382.45
"CO",2015,"M07",148122.991666667
"CO",2015,"M08",148863.533333333
"CO",2015,"M09",149604.075
"CO",2015,"M10",150344.616666667
"CO",2015,"M11",151085.158333333
"CO",2015,"M12",151825.7
"CO",2016,"M01",152475.783333333
"CO",2016,"M02",153125.866666667
"CO",2016,"M03",153775.95
"CO",2016,"M04",154426.033333333
"CO",2016,"M05",155076.116666667
"CO",2016,"M06",155726.2
"CO",2016,"M07",156376.283333333
"CO",2016,"M08",157026.366666667
"CO",2016,"M09",157676.45
"CO",2016,"M10",158326.533333333
"CO",2016,"M11",158976.616666667
"CO",2016,"M12",159626.7
"CO",2017,"M01",160342.941666667
"CO",2017,"M02",161059.183333333
"CO",2017,"M03",161775.425
"CO",2017,"M04",162491.666666667
"CO",2017,"M05",163207.908333333
"CO",2017,"M06",163924.15
"CO",2017,"M07",164640.391666667
"CO",2017,"M08",165356.633333333
"CO",2017,"M09",166072.875
"CO",2017,"M10",166789.116666667
"CO",2017,"M11",167505.358333333
"CO",2017,"M12",168221.6
"CO",2018,"M01",169026.383333333
"CO",2018,"M02",169831.166666667
"CO",2018,"M03",170635.95
"CO",2018,"M04",171440.733333333
"CO",2018,"M05",172245.516666667
"CO",2018,"M06",173050.3
"CO",2018,"M07",173855.083333333
"CO",2018,"M08",174659.866666667
"CO",2018,"M09",175464.65
"CO",2018,"M10",176269.433333333
"CO",2018,"M11",177074.216666667
"CO",2018,"M12",177879
"CO",2019,"M01",178726.316666667
"CO",2019,"M02",179573.633333333
"CO",2019,"M03",180420.95
"CO",2019,"M04",181268.266666667
"CO",2019,"M05",182115.583333333
"CO",2019,"M06",182962.9
"CO",2019,"M07",183810.216666667
"CO",2019,"M08",184657.533333333
"CO",2019,"M09",185504.85
"CO",2019,"M10",186352.166666667
"CO",2019,"M11",187199.483333333
"CO",2019,"M12",188046.8
"CO",2020,"M01",187397.833333333
"CO",2020,"M02",186748.866666667
"CO",2020,"M03",186099.9
"CO",2020,"M04",185450.933333333
"CO",2020,"M05",184801.966666667
"CO",2020,"M06",184153
"CO",2020,"M07",183504.033333333
"CO",2020,"M08",182855.066666667
"CO",2020,"M09",182206.1
"CO",2020,"M10",181557.133333333
"CO",2020,"M11",180908.166666667
"CO",2020,"M12",180259.2
"CO",2021,"M01",182394.475
"CO",2021,"M02",184529.75
"CO",2021,"M03",186665.025
"CO",2021,"M04",188800.3
"CO",2021,"M05",190935.575
"CO",2021,"M06",193070.85
"CO",2021,"M07",195206.125
"CO",2021,"M08",197341.4
"CO",2021,"M09",199476.675
"CO",2021,"M10",201611.95
"CO",2021,"M11",203747.225
"CO",2021,"M12",205882.5
"CO",2022,"M01",207679.783333333
"CO",2022,"M02",209477.066666667
"CO",2022,"M03",211274.35
"CO",2022,"M04",213071.633333333
"CO",2022,"M05",214868.916666667
"CO",2022,"M06",216666.2
"CO",2022,"M07",218463.483333333
"CO",2022,"M08",220260.766666667
"CO",2022,"M09",222058.05
"CO",2022,"M10",223855.333333333
"CO",2022,"M11",225652.616666667
"CO",2022,"M12",227449.9
"CT",2012,"M01",105217.991666667
"CT",2012,"M02",105479.683333333
"CT",2012,"M03",105741.375
"CT",2012,"M04",106003.066666667
"CT",2012,"M05",106264.758333333
"CT",2012,"M06",106526.45
"CT",2012,"M07",106788.141666667
"CT",2012,"M08",107049.833333333
"CT",2012,"M09",107311.525
"CT",2012,"M10",107573.216666667
"CT",2012,"M11",107834.908333333
"CT",2012,"M12",108096.6
"CT",2013,"M01",108303.966666667
"CT",2013,"M02",108511.333333333
"CT",2013,"M03",108718.7
"CT",2013,"M04",108926.066666667
"CT",2013,"M05",109133.433333333
"CT",2013,"M06",109340.8
"CT",2013,"M07",109548.166666667
"CT",2013,"M08",109755.533333333
"CT",2013,"M09",109962.9
"CT",2013,"M10",110170.266666667
"CT",2013,"M11",110377.633333333
"CT",2013,"M12",110585
"CT",2014,"M01",110943.275
"CT",2014,"M02",111301.55
"CT",2014,"M03",111659.825
"CT",2014,"M04",112018.1
"CT",2014,"M05",112376.375
"CT",2014,"M06",112734.65
"CT",2014,"M07",113092.925
"CT",2014,"M08",113451.2
"CT",2014,"M09",113809.475
"CT",2014,"M10",114167.75
"CT",2014,"M11",114526.025
"CT",2014,"M12",114884.3
"CT",2015,"M01",115196.35
"CT",2015,"M02",115508.4
"CT",2015,"M03",115820.45
"CT",2015,"M04",116132.5
