State,Year,Period,Monetary_2
AK,2019,M11,113.1433186
AK,2019,M12,113.3517964
AK,2020,M01,113.5356958
AK,2020,M02,113.6783385
AK,2020,M03,113.3087842
AK,2020,M04,112.3998209
AK,2020,M05,112.3339858
AK,2020,M06,112.8927063
AK,2020,M07,113.4746886
AK,2020,M08,113.9298286
AK,2020,M09,114.197558
AK,2020,M10,114.2686599
AK,2020,M11,114.4306142
AK,2020,M12,114.8006074
AK,2021,M01,115.0797482
AK,2021,M02,115.5827284
AK,2021,M03,116.3209593
AK,2021,M04,117.0666515
AK,2021,M05,117.8882735
AK,2021,M06,118.9223234
AK,2021,M07,119.4617323
AK,2021,M08,119.860254
AK,2021,M09,120.3527006
AK,2021,M10,121.3955285
AK,2021,M11,122.2443623
AK,2021,M12,122.9474811
AK,2022,M01,123.7405746
AK,2022,M02,124.7276622
AK,2022,M03,126.2752258
AK,2022,M04,126.6943759
AK,2022,M05,127.9281256
AK,2022,M06,129.6196487
AK,2022,M07,129.5946314
AK,2022,M08,129.7478077
AK,2022,M09,130.2485933
AK,2022,M10,130.8196031
AK,2022,M11,130.9455675
AK,2022,M12,NA
AL,2012,M01,100
AL,2012,M02,100.2137446
AL,2012,M03,100.4235391
AL,2012,M04,100.5903214
AL,2012,M05,100.3822825
AL,2012,M06,100.2993302
AL,2012,M07,100.3282977
AL,2012,M08,100.9111577
AL,2012,M09,101.3926317
AL,2012,M10,101.6660668
AL,2012,M11,101.4953345
AL,2012,M12,101.4830453
AL,2013,M01,101.6840618
AL,2013,M02,102.2361988
AL,2013,M03,101.9487188
AL,2013,M04,101.735852
AL,2013,M05,101.7779865
AL,2013,M06,102.0202597
AL,2013,M07,102.2199594
AL,2013,M08,102.4639882
AL,2013,M09,102.5026115
AL,2013,M10,102.557474
AL,2013,M11,102.7466402
AL,2013,M12,103.0183197
AL,2014,M01,103.2680542
AL,2014,M02,103.3817294
AL,2014,M03,103.5928407
AL,2014,M04,103.7859569
AL,2014,M05,103.9834622
AL,2014,M06,104.1208381
AL,2014,M07,104.2380246
AL,2014,M08,104.2213464
AL,2014,M09,104.2288077
AL,2014,M10,104.2081794
AL,2014,M11,104.0119908
AL,2014,M12,103.6911544
AL,2015,M01,103.0306089
AL,2015,M02,103.2917548
AL,2015,M03,103.5700178
AL,2015,M04,103.6779874
AL,2015,M05,104.019891
AL,2015,M06,104.3078098
AL,2015,M07,104.4732753
AL,2015,M08,104.4728364
AL,2015,M09,104.2380246
AL,2015,M10,104.3411662
AL,2015,M11,104.465814
AL,2015,M12,104.3534555
AL,2016,M01,104.3056153
AL,2016,M02,104.1669227
AL,2016,M03,104.4934648
AL,2016,M04,104.8937422
AL,2016,M05,105.141721
AL,2016,M06,105.4335899
AL,2016,M07,105.380483
AL,2016,M08,105.5753549
AL,2016,M09,105.8523012
AL,2016,M10,106.10028
AL,2016,M11,106.2253667
AL,2016,M12,106.493535
AL,2017,M01,106.9240965
AL,2017,M02,107.09439
AL,2017,M03,107.0443553
AL,2017,M04,107.1764644
AL,2017,M05,107.0935122
AL,2017,M06,107.1632974
AL,2017,M07,107.1984094
AL,2017,M08,107.610976
AL,2017,M09,108.1604796
AL,2017,M10,108.2443097
AL,2017,M11,108.5331063
AL,2017,M12,108.7617735
AL,2018,M01,109.1734623
AL,2018,M02,109.4789372
AL,2018,M03,109.541261
AL,2018,M04,109.7892399
AL,2018,M05,110.067064
AL,2018,M06,110.2158513
AL,2018,M07,110.305826
AL,2018,M08,110.4927976
AL,2018,M09,110.707859
AL,2018,M10,110.9812941
AL,2018,M11,110.8913194
AL,2018,M12,110.844796
AL,2019,M01,110.809245
AL,2019,M02,111.1011139
AL,2019,M03,111.6005829
AL,2019,M04,111.9912044
AL,2019,M05,112.0623063
AL,2019,M06,112.0781068
AL,2019,M07,112.3146742
AL,2019,M08,112.4371275
AL,2019,M09,112.6201491
AL,2019,M10,112.9313296
AL,2019,M11,113.1433186
AL,2019,M12,113.3517964
AL,2020,M01,113.5356958
AL,2020,M02,113.6783385
AL,2020,M03,113.3087842
AL,2020,M04,112.3998209
AL,2020,M05,112.3339858
AL,2020,M06,112.8927063
AL,2020,M07,113.4746886
AL,2020,M08,113.9298286
AL,2020,M09,114.197558
AL,2020,M10,114.2686599
AL,2020,M11,114.4306142
AL,2020,M12,114.8006074
AL,2021,M01,115.0797482
AL,2021,M02,115.5827284
AL,2021,M03,116.3209593
AL,2021,M04,117.0666515
AL,2021,M05,117.8882735
AL,2021,M06,118.9223234
AL,2021,M07,119.4617323
AL,2021,M08,119.860254
AL,2021,M09,120.3527006
AL,2021,M10,121.3955285
AL,2021,M11,122.2443623
AL,2021,M12,122.9474811
AL,2022,M01,123.7405746
AL,2022,M02,124.7276622
AL,2022,M03,126.2752258
AL,2022,M04,126.6943759
AL,2022,M05,127.9281256
AL,2022,M06,129.6196487
AL,2022,M07,129.5946314
AL,2022,M08,129.7478077
AL,2022,M09,130.2485933
AL,2022,M10,130.8196031
AL,2022,M11,130.9455675
AL,2022,M12,NA
AR,2012,M01,100
AR,2012,M02,100.2137446
AR,2012,M03,100.4235391
AR,2012,M04,100.5903214
AR,2012,M05,100.3822825
AR,2012,M06,100.2993302
AR,2012,M07,100.3282977
AR,2012,M08,100.9111577
AR,2012,M09,101.3926317
AR,2012,M10,101.6660668
AR,2012,M11,101.4953345
AR,2012,M12,101.4830453
AR,2013,M01,101.6840618
AR,2013,M02,102.2361988
AR,2013,M03,101.9487188
AR,2013,M04,101.735852
AR,2013,M05,101.7779865
AR,2013,M06,102.0202597
AR,2013,M07,102.2199594
AR,2013,M08,102.4639882
AR,2013,M09,102.5026115
AR,2013,M10,102.557474
AR,2013,M11,102.7466402
AR,2013,M12,103.0183197
AR,2014,M01,103.2680542
AR,2014,M02,103.3817294
AR,2014,M03,103.5928407
AR,2014,M04,103.7859569
AR,2014,M05,103.9834622
AR,2014,M06,104.1208381
AR,2014,M07,104.2380246
AR,2014,M08,104.2213464
AR,2014,M09,104.2288077
AR,2014,M10,104.2081794
AR,2014,M11,104.0119908
AR,2014,M12,103.6911544
AR,2015,M01,103.0306089
AR,2015,M02,103.2917548
AR,2015,M03,103.5700178
AR,2015,M04,103.6779874
AR,2015,M05,104.019891
AR,2015,M06,104.3078098
AR,2015,M07,104.4732753
AR,2015,M08,104.4728364
AR,2015,M09,104.2380246
AR,2015,M10,104.3411662
AR,2015,M11,104.465814
AR,2015,M12,104.3534555
AR,2016,M01,104.3056153
AR,2016,M02,104.1669227
AR,2016,M03,104.4934648
AR,2016,M04,104.8937422
AR,2016,M05,105.141721
AR,2016,M06,105.4335899
AR,2016,M07,105.380483
AR,2016,M08,105.5753549
AR,2016,M09,105.8523012
AR,2016,M10,106.10028
AR,2016,M11,106.2253667
AR,2016,M12,106.493535
AR,2017,M01,106.9240965
AR,2017,M02,107.09439
AR,2017,M03,107.0443553
AR,2017,M04,107.1764644
AR,2017,M05,107.0935122
AR,2017,M06,107.1632974
AR,2017,M07,107.1984094
AR,2017,M08,107.610976
AR,2017,M09,108.1604796
AR,2017,M10,108.2443097
AR,2017,M11,108.5331063
AR,2017,M12,108.7617735
AR,2018,M01,109.1734623
AR,2018,M02,109.4789372
AR,2018,M03,109.541261
AR,2018,M04,109.7892399
AR,2018,M05,110.067064
AR,2018,M06,110.2158513
AR,2018,M07,110.305826
AR,2018,M08,110.4927976
AR,2018,M09,110.707859
AR,2018,M10,110.9812941
AR,2018,M11,110.8913194
AR,2018,M12,110.844796
AR,2019,M01,110.809245
AR,2019,M02,111.1011139
AR,2019,M03,111.6005829
AR,2019,M04,111.9912044
AR,2019,M05,112.0623063
AR,2019,M06,112.0781068
AR,2019,M07,112.3146742
AR,2019,M08,112.4371275
AR,2019,M09,112.6201491
AR,2019,M10,112.9313296
AR,2019,M11,113.1433186
AR,2019,M12,113.3517964
AR,2020,M01,113.5356958
AR,2020,M02,113.6783385
AR,2020,M03,113.3087842
AR,2020,M04,112.3998209
AR,2020,M05,112.3339858
AR,2020,M06,112.8927063
AR,2020,M07,113.4746886
AR,2020,M08,113.9298286
AR,2020,M09,114.197558
AR,2020,M10,114.2686599
AR,2020,M11,114.4306142
AR,2020,M12,114.8006074
AR,2021,M01,115.0797482
AR,2021,M02,115.5827284
AR,2021,M03,116.3209593
AR,2021,M04,117.0666515
AR,2021,M05,117.8882735
AR,2021,M06,118.9223234
AR,2021,M07,119.4617323
AR,2021,M08,119.860254
AR,2021,M09,120.3527006
AR,2021,M10,121.3955285
AR,2021,M11,122.2443623
AR,2021,M12,122.9474811
AR,2022,M01,123.7405746
AR,2022,M02,124.7276622
AR,2022,M03,126.2752258
AR,2022,M04,126.6943759
AR,2022,M05,127.9281256
AR,2022,M06,129.6196487
AR,2022,M07,129.5946314
AR,2022,M08,129.7478077
AR,2022,M09,130.2485933
AR,2022,M10,130.8196031
AR,2022,M11,130.9455675
AR,2022,M12,NA
AZ,2012,M01,100
AZ,2012,M02,100.2137446
AZ,2012,M03,100.4235391
AZ,2012,M04,100.5903214
AZ,2012,M05,100.3822825
AZ,2012,M06,100.2993302
AZ,2012,M07,100.3282977
AZ,2012,M08,100.9111577
AZ,2012,M09,101.3926317
AZ,2012,M10,101.6660668
AZ,2012,M11,101.4953345
AZ,2012,M12,101.4830453
AZ,2013,M01,101.6840618
AZ,2013,M02,102.2361988
AZ,2013,M03,101.9487188
AZ,2013,M04,101.735852
AZ,2013,M05,101.7779865
AZ,2013,M06,102.0202597
AZ,2013,M07,102.2199594
AZ,2013,M08,102.4639882
AZ,2013,M09,102.5026115
AZ,2013,M10,102.557474
AZ,2013,M11,102.7466402
AZ,2013,M12,103.0183197
AZ,2014,M01,103.2680542
AZ,2014,M02,103.3817294
AZ,2014,M03,103.5928407
AZ,2014,M04,103.7859569
AZ,2014,M05,103.9834622
AZ,2014,M06,104.1208381
AZ,2014,M07,104.2380246
AZ,2014,M08,104.2213464
AZ,2014,M09,104.2288077
AZ,2014,M10,104.2081794
AZ,2014,M11,104.0119908
AZ,2014,M12,103.6911544
AZ,2015,M01,103.0306089
AZ,2015,M02,103.2917548
AZ,2015,M03,103.5700178
AZ,2015,M04,103.6779874
AZ,2015,M05,104.019891
AZ,2015,M06,104.3078098
AZ,2015,M07,104.4732753
AZ,2015,M08,104.4728364
AZ,2015,M09,104.2380246
AZ,2015,M10,104.3411662
AZ,2015,M11,104.465814
AZ,2015,M12,104.3534555
AZ,2016,M01,104.3056153
AZ,2016,M02,104.1669227
AZ,2016,M03,104.4934648
AZ,2016,M04,104.8937422
AZ,2016,M05,105.141721
AZ,2016,M06,105.4335899
AZ,2016,M07,105.380483
AZ,2016,M08,105.5753549
AZ,2016,M09,105.8523012
AZ,2016,M10,106.10028
AZ,2016,M11,106.2253667
AZ,2016,M12,106.493535
AZ,2017,M01,106.9240965
AZ,2017,M02,107.09439
AZ,2017,M03,107.0443553
AZ,2017,M04,107.1764644
AZ,2017,M05,107.0935122
AZ,2017,M06,107.1632974
AZ,2017,M07,107.1984094
AZ,2017,M08,107.610976
AZ,2017,M09,108.1604796
AZ,2017,M10,108.2443097
AZ,2017,M11,108.5331063
AZ,2017,M12,108.7617735
AZ,2018,M01,109.1734623
AZ,2018,M02,109.4789372
AZ,2018,M03,109.541261
AZ,2018,M04,109.7892399
AZ,2018,M05,110.067064
AZ,2018,M06,110.2158513
AZ,2018,M07,110.305826
AZ,2018,M08,110.4927976
AZ,2018,M09,110.707859
AZ,2018,M10,110.9812941
AZ,2018,M11,110.8913194
AZ,2018,M12,110.844796
AZ,2019,M01,110.809245
AZ,2019,M02,111.1011139
AZ,2019,M03,111.6005829
AZ,2019,M04,111.9912044
AZ,2019,M05,112.0623063
AZ,2019,M06,112.0781068
AZ,2019,M07,112.3146742
AZ,2019,M08,112.4371275
AZ,2019,M09,112.6201491
AZ,2019,M10,112.9313296
AZ,2019,M11,113.1433186
AZ,2019,M12,113.3517964
AZ,2020,M01,113.5356958
AZ,2020,M02,113.6783385
AZ,2020,M03,113.3087842
AZ,2020,M04,112.3998209
AZ,2020,M05,112.3339858
AZ,2020,M06,112.8927063
AZ,2020,M07,113.4746886
AZ,2020,M08,113.9298286
AZ,2020,M09,114.197558
AZ,2020,M10,114.2686599
AZ,2020,M11,114.4306142
AZ,2020,M12,114.8006074
AZ,2021,M01,115.0797482
AZ,2021,M02,115.5827284
AZ,2021,M03,116.3209593
AZ,2021,M04,117.0666515
AZ,2021,M05,117.8882735
AZ,2021,M06,118.9223234
AZ,2021,M07,119.4617323
AZ,2021,M08,119.860254
AZ,2021,M09,120.3527006
AZ,2021,M10,121.3955285
AZ,2021,M11,122.2443623
AZ,2021,M12,122.9474811
AZ,2022,M01,123.7405746
AZ,2022,M02,124.7276622
AZ,2022,M03,126.2752258
AZ,2022,M04,126.6943759
AZ,2022,M05,127.9281256
AZ,2022,M06,129.6196487
AZ,2022,M07,129.5946314
AZ,2022,M08,129.7478077
AZ,2022,M09,130.2485933
AZ,2022,M10,130.8196031
AZ,2022,M11,130.9455675
AZ,2022,M12,NA
CA,2012,M01,100
CA,2012,M02,100.2137446
CA,2012,M03,100.4235391
CA,2012,M04,100.5903214
CA,2012,M05,100.3822825
CA,2012,M06,100.2993302
CA,2012,M07,100.3282977
CA,2012,M08,100.9111577
CA,2012,M09,101.3926317
CA,2012,M10,101.6660668
CA,2012,M11,101.4953345
CA,2012,M12,101.4830453
CA,2013,M01,101.6840618
CA,2013,M02,102.2361988
CA,2013,M03,101.9487188
CA,2013,M04,101.735852
CA,2013,M05,101.7779865
CA,2013,M06,102.0202597
CA,2013,M07,102.2199594
CA,2013,M08,102.4639882
CA,2013,M09,102.5026115
CA,2013,M10,102.557474
CA,2013,M11,102.7466402
CA,2013,M12,103.0183197
CA,2014,M01,103.2680542
CA,2014,M02,103.3817294
CA,2014,M03,103.5928407
CA,2014,M04,103.7859569
CA,2014,M05,103.9834622
CA,2014,M06,104.1208381
CA,2014,M07,104.2380246
CA,2014,M08,104.2213464
CA,2014,M09,104.2288077
CA,2014,M10,104.2081794
CA,2014,M11,104.0119908
CA,2014,M12,103.6911544
CA,2015,M01,103.0306089
CA,2015,M02,103.2917548
CA,2015,M03,103.5700178
CA,2015,M04,103.6779874
CA,2015,M05,104.019891
CA,2015,M06,104.3078098
CA,2015,M07,104.4732753
CA,2015,M08,104.4728364
CA,2015,M09,104.2380246
CA,2015,M10,104.3411662
CA,2015,M11,104.465814
CA,2015,M12,104.3534555
CA,2016,M01,104.3056153
CA,2016,M02,104.1669227
CA,2016,M03,104.4934648
CA,2016,M04,104.8937422
CA,2016,M05,105.141721
CA,2016,M06,105.4335899
CA,2016,M07,105.380483
CA,2016,M08,105.5753549
CA,2016,M09,105.8523012
CA,2016,M10,106.10028
CA,2016,M11,106.2253667
CA,2016,M12,106.493535
CA,2017,M01,106.9240965
CA,2017,M02,107.09439
CA,2017,M03,107.0443553
CA,2017,M04,107.1764644
CA,2017,M05,107.0935122
CA,2017,M06,107.1632974
CA,2017,M07,107.1984094
CA,2017,M08,107.610976
CA,2017,M09,108.1604796
CA,2017,M10,108.2443097
CA,2017,M11,108.5331063
CA,2017,M12,108.7617735
CA,2018,M01,109.1734623
CA,2018,M02,109.4789372
CA,2018,M03,109.541261
CA,2018,M04,109.7892399
CA,2018,M05,110.067064
CA,2018,M06,110.2158513
CA,2018,M07,110.305826
CA,2018,M08,110.4927976
CA,2018,M09,110.707859
CA,2018,M10,110.9812941
CA,2018,M11,110.8913194
CA,2018,M12,110.844796
CA,2019,M01,110.809245
CA,2019,M02,111.1011139
CA,2019,M03,111.6005829
CA,2019,M04,111.9912044
CA,2019,M05,112.0623063
CA,2019,M06,112.0781068
CA,2019,M07,112.3146742
CA,2019,M08,112.4371275
CA,2019,M09,112.6201491
CA,2019,M10,112.9313296
CA,2019,M11,113.1433186
CA,2019,M12,113.3517964
CA,2020,M01,113.5356958
CA,2020,M02,113.6783385
CA,2020,M03,113.3087842
CA,2020,M04,112.3998209
CA,2020,M05,112.3339858
CA,2020,M06,112.8927063
CA,2020,M07,113.4746886
CA,2020,M08,113.9298286
CA,2020,M09,114.197558
CA,2020,M10,114.2686599
CA,2020,M11,114.4306142
CA,2020,M12,114.8006074
CA,2021,M01,115.0797482
CA,2021,M02,115.5827284
CA,2021,M03,116.3209593
CA,2021,M04,117.0666515
CA,2021,M05,117.8882735
CA,2021,M06,118.9223234
CA,2021,M07,119.4617323
CA,2021,M08,119.860254
CA,2021,M09,120.3527006
CA,2021,M10,121.3955285
CA,2021,M11,122.2443623
CA,2021,M12,122.9474811
CA,2022,M01,123.7405746
CA,2022,M02,124.7276622
CA,2022,M03,126.2752258
CA,2022,M04,126.6943759
CA,2022,M05,127.9281256
CA,2022,M06,129.6196487
CA,2022,M07,129.5946314
CA,2022,M08,129.7478077
CA,2022,M09,130.2485933
CA,2022,M10,130.8196031
CA,2022,M11,130.9455675
CA,2022,M12,NA
CO,2012,M01,100
CO,2012,M02,100.2137446
CO,2012,M03,100.4235391
CO,2012,M04,100.5903214
CO,2012,M05,100.3822825
CO,2012,M06,100.2993302
CO,2012,M07,100.3282977
CO,2012,M08,100.9111577
CO,2012,M09,101.3926317
CO,2012,M10,101.6660668
CO,2012,M11,101.4953345
CO,2012,M12,101.4830453
CO,2013,M01,101.6840618
CO,2013,M02,102.2361988
CO,2013,M03,101.9487188
CO,2013,M04,101.735852
CO,2013,M05,101.7779865
CO,2013,M06,102.0202597
CO,2013,M07,102.2199594
CO,2013,M08,102.4639882
CO,2013,M09,102.5026115
CO,2013,M10,102.557474
CO,2013,M11,102.7466402
CO,2013,M12,103.0183197
CO,2014,M01,103.2680542
CO,2014,M02,103.3817294
CO,2014,M03,103.5928407
CO,2014,M04,103.7859569
CO,2014,M05,103.9834622
CO,2014,M06,104.1208381
CO,2014,M07,104.2380246
CO,2014,M08,104.2213464
CO,2014,M09,104.2288077
CO,2014,M10,104.2081794
CO,2014,M11,104.0119908
CO,2014,M12,103.6911544
CO,2015,M01,103.0306089
CO,2015,M02,103.2917548
CO,2015,M03,103.5700178
CO,2015,M04,103.6779874
CO,2015,M05,104.019891
CO,2015,M06,104.3078098
CO,2015,M07,104.4732753
CO,2015,M08,104.4728364
CO,2015,M09,104.2380246
CO,2015,M10,104.3411662
CO,2015,M11,104.465814
CO,2015,M12,104.3534555
CO,2016,M01,104.3056153
CO,2016,M02,104.1669227
CO,2016,M03,104.4934648
CO,2016,M04,104.8937422
CO,2016,M05,105.141721
CO,2016,M06,105.4335899
CO,2016,M07,105.380483
CO,2016,M08,105.5753549
CO,2016,M09,105.8523012
CO,2016,M10,106.10028
CO,2016,M11,106.2253667
CO,2016,M12,106.493535
CO,2017,M01,106.9240965
CO,2017,M02,107.09439
CO,2017,M03,107.0443553
CO,2017,M04,107.1764644
CO,2017,M05,107.0935122
CO,2017,M06,107.1632974
CO,2017,M07,107.1984094
CO,2017,M08,107.610976
CO,2017,M09,108.1604796
CO,2017,M10,108.2443097
CO,2017,M11,108.5331063
CO,2017,M12,108.7617735
CO,2018,M01,109.1734623
CO,2018,M02,109.4789372
CO,2018,M03,109.541261
CO,2018,M04,109.7892399
CO,2018,M05,110.067064
CO,2018,M06,110.2158513
CO,2018,M07,110.305826
CO,2018,M08,110.4927976
CO,2018,M09,110.707859
CO,2018,M10,110.9812941
CO,2018,M11,110.8913194
CO,2018,M12,110.844796
CO,2019,M01,110.809245
CO,2019,M02,111.1011139
CO,2019,M03,111.6005829
CO,2019,M04,111.9912044
CO,2019,M05,112.0623063
CO,2019,M06,112.0781068
CO,2019,M07,112.3146742
CO,2019,M08,112.4371275
CO,2019,M09,112.6201491
CO,2019,M10,112.9313296
CO,2019,M11,113.1433186
CO,2019,M12,113.3517964
CO,2020,M01,113.5356958
CO,2020,M02,113.6783385
CO,2020,M03,113.3087842
CO,2020,M04,112.3998209
CO,2020,M05,112.3339858
CO,2020,M06,112.8927063
CO,2020,M07,113.4746886
CO,2020,M08,113.9298286
CO,2020,M09,114.197558
CO,2020,M10,114.2686599
CO,2020,M11,114.4306142
CO,2020,M12,114.8006074
CO,2021,M01,115.0797482
CO,2021,M02,115.5827284
CO,2021,M03,116.3209593
CO,2021,M04,117.0666515
CO,2021,M05,117.8882735
CO,2021,M06,118.9223234
CO,2021,M07,119.4617323
CO,2021,M08,119.860254
CO,2021,M09,120.3527006
CO,2021,M10,121.3955285
CO,2021,M11,122.2443623
CO,2021,M12,122.9474811
CO,2022,M01,123.7405746
CO,2022,M02,124.7276622
CO,2022,M03,126.2752258
CO,2022,M04,126.6943759
CO,2022,M05,127.9281256
CO,2022,M06,129.6196487
CO,2022,M07,129.5946314
CO,2022,M08,129.7478077
CO,2022,M09,130.2485933
CO,2022,M10,130.8196031
CO,2022,M11,130.9455675
CO,2022,M12,NA
CT,2012,M01,100
CT,2012,M02,100.2137446
CT,2012,M03,100.4235391
CT,2012,M04,100.5903214
CT,2012,M05,100.3822825
CT,2012,M06,100.2993302
CT,2012,M07,100.3282977
CT,2012,M08,100.9111577
CT,2012,M09,101.3926317
CT,2012,M10,101.6660668
CT,2012,M11,101.4953345
CT,2012,M12,101.4830453
CT,2013,M01,101.6840618
CT,2013,M02,102.2361988
CT,2013,M03,101.9487188
CT,2013,M04,101.735852
CT,2013,M05,101.7779865
CT,2013,M06,102.0202597
CT,2013,M07,102.2199594
CT,2013,M08,102.4639882
CT,2013,M09,102.5026115
CT,2013,M10,102.557474
CT,2013,M11,102.7466402
CT,2013,M12,103.0183197
CT,2014,M01,103.2680542
CT,2014,M02,103.3817294
CT,2014,M03,103.5928407
CT,2014,M04,103.7859569
CT,2014,M05,103.9834622
CT,2014,M06,104.1208381
CT,2014,M07,104.2380246
CT,2014,M08,104.2213464
CT,2014,M09,104.2288077
CT,2014,M10,104.2081794
CT,2014,M11,104.0119908
CT,2014,M12,103.6911544
CT,2015,M01,103.0306089
CT,2015,M02,103.2917548
CT,2015,M03,103.5700178
CT,2015,M04,103.6779874
CT,2015,M05,104.019891
CT,2015,M06,104.3078098
CT,2015,M07,104.4732753
CT,2015,M08,104.4728364
CT,2015,M09,104.2380246
CT,2015,M10,104.3411662
CT,2015,M11,104.465814
CT,2015,M12,104.3534555
CT,2016,M01,104.3056153
CT,2016,M02,104.1669227
CT,2016,M03,104.4934648
CT,2016,M04,104.8937422
CT,2016,M05,105.141721
CT,2016,M06,105.4335899
CT,2016,M07,105.380483
CT,2016,M08,105.5753549
CT,2016,M09,105.8523012
CT,2016,M10,106.10028
CT,2016,M11,106.2253667
CT,2016,M12,106.493535
CT,2017,M01,106.9240965
CT,2017,M02,107.09439
CT,2017,M03,107.0443553
CT,2017,M04,107.1764644
CT,2017,M05,107.0935122
CT,2017,M06,107.1632974
CT,2017,M07,107.1984094
CT,2017,M08,107.610976
CT,2017,M09,108.1604796
CT,2017,M10,108.2443097
CT,2017,M11,108.5331063
CT,2017,M12,108.7617735
CT,2018,M01,109.1734623
CT,2018,M02,109.4789372
CT,2018,M03,109.541261
CT,2018,M04,109.7892399
CT,2018,M05,110.067064
CT,2018,M06,110.2158513
CT,2018,M07,110.305826
CT,2018,M08,110.4927976
CT,2018,M09,110.707859
CT,2018,M10,110.9812941
CT,2018,M11,110.8913194
CT,2018,M12,110.844796
CT,2019,M01,110.809245
CT,2019,M02,111.1011139
CT,2019,M03,111.6005829
CT,2019,M04,111.9912044
CT,2019,M05,112.0623063
CT,2019,M06,112.0781068
CT,2019,M07,112.3146742
CT,2019,M08,112.4371275
CT,2019,M09,112.6201491
CT,2019,M10,112.9313296
CT,2019,M11,113.1433186
CT,2019,M12,113.3517964
CT,2020,M01,113.5356958
CT,2020,M02,113.6783385
CT,2020,M03,113.3087842
CT,2020,M04,112.3998209
CT,2020,M05,112.3339858
CT,2020,M06,112.8927063
CT,2020,M07,113.4746886
CT,2020,M08,113.9298286
CT,2020,M09,114.197558
CT,2020,M10,114.2686599
CT,2020,M11,114.4306142
CT,2020,M12,114.8006074
CT,2021,M01,115.0797482
CT,2021,M02,115.5827284
CT,2021,M03,116.3209593
CT,2021,M04,117.0666515
CT,2021,M05,117.8882735
CT,2021,M06,118.9223234
CT,2021,M07,119.4617323
CT,2021,M08,119.860254
CT,2021,M09,120.3527006
CT,2021,M10,121.3955285
CT,2021,M11,122.2443623
CT,2021,M12,122.9474811
CT,2022,M01,123.7405746
CT,2022,M02,124.7276622
CT,2022,M03,126.2752258
CT,2022,M04,126.6943759
CT,2022,M05,127.9281256
CT,2022,M06,129.6196487
CT,2022,M07,129.5946314
CT,2022,M08,129.7478077
CT,2022,M09,130.2485933
CT,2022,M10,130.8196031
CT,2022,M11,130.9455675
CT,2022,M12,NA
DE,2012,M01,100
DE,2012,M02,100.2137446
DE,2012,M03,100.4235391
DE,2012,M04,100.5903214
DE,2012,M05,100.3822825
DE,2012,M06,100.2993302
DE,2012,M07,100.3282977
DE,2012,M08,100.9111577
DE,2012,M09,101.3926317
DE,2012,M10,101.6660668
